GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present
48113015900,Census Tract 159,5703840,1.0,200.0,200.0,2006.0,0,0,95,0,112,0,207,0.0,0.0,,0.0,False
48113012604,Census Tract 126.04,2510513,0.0,0.0,0.0,,0,0,54,0,0,0,54,0.0,0.0,,0.0,False
48113013010,Census Tract 130.10,1404466,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113013622,Census Tract 136.22,1249629,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False
48113013621,Census Tract 136.21,910824,0.0,0.0,0.0,,0,0,9,0,0,0,9,0.0,0.0,,0.0,False
48113014135,Census Tract 141.35,1696499,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113014134,Census Tract 141.34,2372406,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False
48113016626,Census Tract 166.26,3362239,0.0,0.0,0.0,,0,0,114,0,0,0,114,0.0,0.0,,0.0,False
48113016621,Census Tract 166.21,4660271,0.0,0.0,0.0,,0,0,51,0,0,0,51,0.0,0.0,,0.0,False
48113016623,Census Tract 166.23,14892228,0.0,0.0,0.0,,0,0,56,0,0,0,56,0.0,0.0,,0.0,False
48113018142,Census Tract 181.42,4085086,0.0,0.0,0.0,,0,0,44,0,0,0,44,0.0,0.0,,0.0,False
48113018141,Census Tract 181.41,1916335,1.0,268.0,268.0,1991.0,0,0,232,0,0,0,232,0.0,0.0,,0.0,False
48113018137,Census Tract 181.37,2508326,0.0,0.0,0.0,,0,0,65,0,0,0,65,0.0,0.0,,0.0,False
48113018138,Census Tract 181.38,2601553,1.0,152.0,152.0,1995.0,39,0,78,0,39,0,156,0.0,0.0,,0.0,False
48113018140,Census Tract 181.40,5945639,1.0,138.0,138.0,2017.0,0,0,87,0,0,0,87,0.0,0.0,,0.0,False
