GEOID,NAMELSAD,ALAND,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_202prac_units,hud_811prac_units,hud_hcv_units,hud_modrehab_units,hud_pbs8_units,hud_pubhsg_units,hud_all_units,hca_count,org_count,org_names,nez_overlap_frac,nez_present,institutional_parcel_count,small_investor_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3
48113015900,Census Tract 159,5703840,1.0,200.0,200.0,2006.0,0,0,95,0,112,0,207,0.0,0.0,,0.0,False,6,103,465,1.29,TRICON SFR 2020 2,2018 1 IH BORROWER LP,MAF PROPERTIES LLC
48113012604,Census Tract 126.04,2510513,0.0,0.0,0.0,,0,0,54,0,0,0,54,0.0,0.0,,0.0,False,3,54,426,0.704,SEASONED STRUCTURES LLC,PATH ACQUISITIONS TRS LLC,TRICON SFR 2024-4 BORROWER LLC
48113013010,Census Tract 130.10,1404466,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,4,28,210,1.905,BT SFRL I LLC,GARLAND MAIN STREET JV LLC,WH1 LLC
48113013622,Census Tract 136.22,1249629,0.0,0.0,0.0,,0,0,0,0,0,0,0,0.0,0.0,,0.0,False,0,14,259,0.0,,,
48113013621,Census Tract 136.21,910824,0.0,0.0,0.0,,0,0,9,0,0,0,9,0.0,0.0,,0.0,False,0,5,95,0.0,,,
48113014135,Census Tract 141.35,1696499,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,1,53,771,0.13,BYPASS TRUST,,
48113014134,Census Tract 141.34,2372406,0.0,0.0,0.0,,0,0,1,0,0,0,1,0.0,0.0,,0.0,False,1,90,1165,0.086,ARNS INVESTMENTS LLC,,
48113016626,Census Tract 166.26,3362239,0.0,0.0,0.0,,0,0,114,0,0,0,114,0.0,0.0,,0.0,False,99,192,1225,8.082,SRP SUB LLC,BAF ASSETS LLC,PROGRESS RESIDENTIAL BORROWER
48113016621,Census Tract 166.21,4660271,0.0,0.0,0.0,,0,0,51,0,0,0,51,0.0,0.0,,0.0,False,99,167,1753,5.647,PROGRESS RESIDENTIAL,CERBERUS SFR HOLDINGS LP,PROGRESS RESIDENTIAL BORROWER
48113016623,Census Tract 166.23,14892228,0.0,0.0,0.0,,0,0,56,0,0,0,56,0.0,0.0,,0.0,False,148,243,3381,4.377,PROGRESS RESIDENTIAL,BLOOMFIELD HOMES LP,ALTO ASSET COMPANY 1 LLC
48113018142,Census Tract 181.42,4085086,0.0,0.0,0.0,,0,0,44,0,0,0,44,0.0,0.0,,0.0,False,36,161,1584,2.273,TOBIAS RENTAL PROPERTIES LLC,SWH 2017 1 BORROWER LP,2018 1 IH BORROWER LP
