gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,code_str,total_units_num
Census tract,TX Texas,TX Texas 113 Dallas County 48113000100,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000100,48113000100,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,TX,,,2023-12-31,48113000100,0
Census tract,TX Texas,TX Texas 113 Dallas County 48113000201,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000201,48113000201,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,TX,,,2023-12-31,48113000201,0
Census tract,TX Texas,TX Texas 113 Dallas County 48113000202,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000202,48113000202,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,TX,,,2023-12-31,48113000202,0
Census tract,TX Texas,TX Texas 113 Dallas County 48113000300,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000300,48113000300,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,TX,,,2023-12-31,48113000300,0
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000401,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000401,48113000401,64,75,52,100,5,42,1.3,69,225,1664,8421,6346,6,17,58,11,8,10,-1,60,11,100,96,-1,15,54,15,47,90,52,4,38,19,38,4,92,67,-1,23,8,-1,2,-1,2,0,3,83,52,166,77,19,4,6,30,76,19,,19100,19000,,,TX,,,2023-12-31,48113000401,64
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000401,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000401,48113000401,64,75,52,100,5,42,1.3,69,225,1664,8421,6346,6,17,58,11,8,10,-1,60,11,100,96,-1,15,54,15,47,90,52,4,38,19,38,4,92,67,-1,23,8,-1,2,-1,2,0,3,83,52,166,77,19,4,6,30,76,19,,19100,19000,,,TX,,,2023-12-31,48113000401,64
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000405,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000405,48113000405,222,93,207,100,5,15,2.0,415,308,885,13036,6502,27,9,35,9,20,33,-1,62,16,97,86,0,42,79,41,26,76,23,7,57,14,22,1,97,86,0,3,3,2,5,-1,7,3,17,121,100,94,38,51,11,12,17,76,3,,19100,19000,,,TX,,,2023-12-31,48113000405,222
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000405,7,Public Housing,2,,TX Texas Dallas County 000405,48113000405,180,97,173,99,5,14,2.0,346,296,774,12579,6289,29,10,34,8,18,32,-1,65,16,98,88,1,41,77,40,26,73,23,7,54,15,24,1,96,85,1,3,4,2,6,-1,8,3,10,126,100,73,39,49,12,10,17,76,3,,19100,19000,,,TX,,,2023-12-31,48113000405,180
Census Tract,TX Texas,TX Texas 113 Dallas County 48113000405,7,Housing Choice Vouchers,3,,TX Texas Dallas County 000405,48113000405,42,77,34,100,3,18,2.0,69,373,1488,15360,7569,17,3,41,10,28,35,-1,50,19,94,76,-1,44,85,44,27,100,22,6,71,12,12,-1,100,91,-1,6,-1,3,-1,-1,3,3,46,94,100,198,35,62,3,21,17,76,3,,19100,19000,,,TX,,,2023-12-31,48113000405,42
Census tract,TX Texas,TX Texas 113 Dallas County 48113000407,7,Summary of All HUD Programs,1,,TX Texas Dallas County 000407,48113000407,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,TX,,,2023-12-31,48113000407,0
