code_str,202/PRAC,811/PRAC,Housing Choice Vouchers,Mod Rehab,Project Based Section 8,Public Housing,Summary of All HUD Programs
48113000100,0,0,0,0,0,0,0
48113000201,0,0,0,0,0,0,0
48113000202,0,0,0,0,0,0,0
48113000300,0,0,0,0,0,0,0
48113000401,0,0,64,0,0,0,64
48113000405,0,0,42,0,0,180,222
48113000407,0,0,0,0,0,0,0
48113000408,0,0,11,0,0,0,11
48113000409,0,0,10,0,0,0,10
48113000410,0,0,25,0,0,0,25
48113000501,0,0,0,0,0,0,0
48113000502,0,0,2,0,0,0,2
48113000503,0,0,6,0,0,0,6
48113000605,0,0,37,0,0,0,37
48113000606,0,0,1,0,0,0,1
48113000607,0,0,2,0,0,0,2
48113000608,0,0,10,0,0,0,10
48113000609,0,0,5,0,0,0,5
48113000610,0,0,0,0,0,0,0
48113000611,0,0,50,0,0,0,50
48113000703,0,0,2,0,0,0,2
48113000704,0,0,1,0,0,0,1
48113000705,0,0,5,0,0,0,5
48113000706,0,0,0,0,0,0,0
48113000801,0,0,109,0,0,189,298
48113000802,0,0,79,0,0,1,80
48113000901,0,0,0,0,0,0,0
48113000902,0,0,85,0,48,0,133
48113001001,0,0,0,0,0,0,0
48113001002,0,0,2,0,0,0,2
48113001101,0,0,2,0,0,0,2
48113001102,0,0,0,0,17,0,17
48113001202,0,0,13,0,0,0,13
48113001203,0,0,0,0,0,0,0
48113001204,0,0,0,0,0,0,0
48113001301,56,0,14,0,127,0,197
48113001302,0,0,44,0,0,0,44
48113001400,0,0,136,0,0,0,136
48113001502,0,0,22,0,0,0,22
48113001503,0,0,188,0,23,0,211
48113001504,0,0,85,61,0,0,146
48113001601,0,0,341,0,0,332,673
48113001602,0,0,4,0,0,0,4
48113001703,0,0,0,0,0,0,0
48113001705,0,0,184,0,0,0,184
48113001801,0,0,1,0,0,0,1
48113001802,0,0,0,0,0,0,0
48113001901,0,0,0,0,0,0,0
48113001902,0,0,0,0,0,0,0
48113002001,0,0,12,0,0,0,12
48113002002,0,11,42,0,0,0,53
48113002100,0,0,164,0,0,0,164
48113002200,0,0,97,0,116,0,213
48113002400,0,0,16,0,0,0,16
48113002500,0,6,194,0,0,0,200
48113002703,0,0,43,0,0,248,291
48113003102,0,0,9,0,0,0,9
48113003103,0,0,272,0,0,0,272
48113003700,0,0,34,0,0,0,34
48113004201,0,0,1,0,0,0,1
48113004202,0,0,2,0,85,0,87
48113004300,0,0,0,0,0,0,0
48113004400,0,0,0,0,0,0,0
48113004500,0,0,15,0,0,0,15
48113004600,0,0,31,0,0,0,31
48113004700,0,0,2,0,0,0,2
48113004800,0,0,4,0,0,0,4
48113005000,68,0,111,0,0,0,179
48113005100,0,0,1,0,0,0,1
48113005200,0,0,4,0,0,0,4
48113005300,0,0,0,0,0,0,0
48113005400,0,0,48,0,0,0,48
48113005500,0,0,16,0,0,0,16
48113005600,0,0,5,0,0,0,5
48113005700,0,0,65,0,0,0,65
48113005901,0,0,15,0,0,0,15
48113005902,0,0,25,0,0,0,25
48113006001,0,0,16,0,0,0,16
48113006002,0,0,198,0,0,0,198
48113006100,0,0,44,0,0,0,44
48113006200,0,0,125,0,45,0,170
48113006301,0,0,1,0,0,1,2
48113006302,0,0,0,0,0,0,0
48113006401,0,0,0,0,0,0,0
48113006402,0,0,1,0,0,0,1
48113006501,0,0,2,0,0,0,2
48113006502,0,0,2,0,0,0,2
48113006701,0,0,0,0,0,0,0
48113006702,0,0,0,0,0,0,0
48113006800,0,0,4,0,0,0,4
48113006900,0,0,68,0,0,179,247
48113007101,0,0,0,0,0,0,0
48113007102,0,0,10,0,0,0,10
48113007203,0,0,17,0,0,0,17
48113007204,0,0,0,0,0,0,0
48113007205,0,0,0,0,0,0,0
48113007206,0,0,0,0,0,0,0
48113007301,0,0,0,0,0,0,0
48113007302,0,0,0,0,0,0,0
48113007601,0,0,0,0,0,0,0
48113007604,0,0,0,0,0,0,0
48113007605,0,0,0,0,0,0,0
48113007701,0,0,0,0,0,0,0
48113007702,0,0,1,0,0,0,1
48113007801,0,0,4,0,0,0,4
48113007805,0,0,3,0,251,0,254
48113007809,0,0,116,0,0,0,116
48113007810,0,0,18,0,0,0,18
48113007812,0,0,0,0,0,0,0
48113007815,0,0,14,0,0,0,14
48113007819,0,0,12,0,0,0,12
48113007821,0,0,7,0,0,0,7
48113007822,0,0,0,0,0,0,0
48113007823,0,0,0,0,0,0,0
48113007824,0,0,0,0,0,0,0
48113007825,0,0,19,0,0,0,19
48113007826,0,0,1,0,0,0,1
48113007827,0,0,20,0,0,0,20
48113007828,0,0,0,0,0,0,0
48113007829,0,0,31,0,0,0,31
48113007830,0,0,14,0,0,0,14
48113007831,0,0,4,0,0,0,4
48113007832,0,0,14,0,0,0,14
48113007833,0,0,12,0,0,0,12
48113007834,0,0,26,0,0,226,252
48113007835,0,0,32,0,0,0,32
48113007902,0,0,7,0,0,0,7
48113007903,0,0,0,0,0,0,0
48113007906,0,0,0,0,0,0,0
48113007909,0,0,0,0,0,0,0
48113007910,0,0,0,0,0,0,0
48113007912,0,0,0,0,0,0,0
48113007913,0,0,8,0,0,0,8
48113007914,0,0,1,0,0,0,1
48113007915,0,0,0,0,0,0,0
48113007916,0,0,0,0,0,0,0
48113008000,0,0,0,0,0,0,0
48113008101,0,0,0,0,0,0,0
