hud_id,project,proj_add,proj_cty,proj_st,proj_zip,state_id,latitude,longitude,place1990,place2000,place2010,place2020,fips1990,fips2000,fips2010,fips2020,st2020,cnty2020,scattered_site_cd,resyndication_cd,allocamt,n_units,li_units,n_0br,n_1br,n_2br,n_3br,n_4br,aff_period,aff_yrs,inc_ceil,low_ceil,ceilunit,yr_pis,yr_alloc,non_prof,basis,bond,mff_ra,fmha_514,fmha_515,fmha_538,home,home_amt,tcap,tcap_amt,cdbg,cdbg_amt,htf,htf_amt,fha,hopevi,hpvi_amt,tcep,tcep_amt,rad,qozf,qozf_amt,rentassist,trgt_pop,trgt_fam,trgt_eld,trgt_dis,trgt_hml,trgt_other,trgt_spc,type,credit,n_unitsr,li_unitr,metro,dda,qct,nonprog,nlm_reason,nlm_spc,datanote,record_stat
TXA00000246,CHAMPION TOWNHOMES AT PECAN GROVE,3131 SIMPSON STUART RD,DALLAS,TX,75241,TX4178,32.66973,-96.769466,1085.0,19000.0,19000.0,19000.0,48113011401,48113011401,48113011401,48113011401,48,113,2.0,,,250.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,250.0,2.0,,,,,,,X
TXA00000249,CITY WALK AT AKARD,511 N AKARD ST,DALLAS,TX,75201,TX4445,32.783778,-96.800662,1085.0,19000.0,19000.0,19000.0,48113002100,48113002100,48113002100,48113002100,48,113,2.0,,,198.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,198.0,2.0,,,,,,,X
TXA00000287,EVERGREEN AT FARMERS BRANCH,11701 MIRA LAGO BLVD,FARMERS BRANCH,TX,75234,TX4495,32.904702,-96.925331,1425.0,19000.0,25452.0,25452.0,48113014001,48113014001,48113009900,48113009900,48,113,2.0,,,89.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,89.0,2.0,,,,,,,X
TXA00000316,GROVE VILLAGE,7209 GREAT TRINITY FOREST WAY,DALLAS,TX,75217,TX4198,32.713423,-96.696908,1085.0,19000.0,19000.0,19000.0,48113009304,48113009304,48113009304,48113009304,48,113,2.0,,,229.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,229.0,2.0,,,,,,,X
TXA00000323,HICKORY MANOR APTS,1626 OLD HICKORY TRAIL,DESOTO,TX,75115,TX4142,32.622521,-96.865466,1085.0,19000.0,20092.0,20092.0,48113016605,48113016605,48113016605,48113016634,48,113,2.0,,,190.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,190.0,2.0,,,,,,PROPERTY IDENTIFIED IN 2014 LIHTC TENANT DATA SUBMISSION.,X
TXA00000368,LAKEVIEW TOWNHOMES,3020 BICKERS ST,DALLAS,TX,75212,TX0021,32.786085,-96.868805,1085.0,19000.0,19000.0,19000.0,48113010200,48113010200,48113020500,48113020500,48,113,2.0,,,152.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,152.0,2.0,,,,,,,X
TXA00000379,LBJ GARDEN VILLAS,1725 OATES DR,MESQUITE,TX,75150,TX0020,32.839308,-96.627841,1580.0,19000.0,47892.0,47892.0,48113018113,48113018130,48113018130,48113018130,48,113,2.0,,,156.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,156.0,2.0,,,,,,,X
TXA00000407,MILL CITY PARC TOWNHOMES,4848 HATCHER ST,DALLAS,TX,75210,TX4337,32.775144,-96.737908,1085.0,19000.0,19000.0,19000.0,48113002701,48113002701,48113002701,48113002703,48,113,2.0,,,116.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,116.0,2.0,,,,,,PROPERTY IDENTIFIED IN 2014 LIHTC TENANT DATA SUBMISSION.,X
TXA00000413,MONARCH TOWNHOMES,2008 KIRBY ST,DALLAS,TX,75204,TX0017,32.806972,-96.780423,1085.0,19000.0,19000.0,19000.0,48113000800,48113000800,48113000800,48113000801,48,113,2.0,,,65.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,65.0,2.0,,,,,,,X
TXA00000459,PRIMROSE AT PARK VILLAS,2519 JOHN W RD,DALLAS,TX,75228,TX4184,32.807268,-96.672723,1085.0,19000.0,19000.0,19000.0,48113012300,48113012302,48113012302,48113012302,48,113,2.0,,,232.0,,,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,232.0,2.0,,,,,,,X
