"X","the_geom","geoid","HUD_ID","Y","project","proj_add","proj_cty","proj_st","proj_zip","COMPANY","ALLOCAMT","N_UNITS","LI_UNITS","P_LI_Units","N_Room","INC_CEIL","LOW_CEIL","CEILUNIT","YR_PIS","YR_ALLOC","NON_PROF","Funding","BASIS","BOND","FMHA_514","FMHA_515","FMHA_538","HOME","HOME_AMT","CDBG","CDBG_AMT","FHA","HOPEVI","HPVI_AMT","RENTASST","MFF_RA","TCAP","TCEP","TRGT_POP","TRGT_FAM","TRGT_ELD","TRGT_DIS","TRGT_HML","trgt_spc","TYPE","CREDIT","DDA","QCT","NONPROG","D_TRGT_ELD"
"-96.8112487793","POINT (-96.81124877899998 32.739227295000035)","481130049002","TXA2003115","32.7392272949","EWING VILLAS","811 MORRELL AVE","DALLAS","TX","75203","SPHINX DEVELOPMENT CORP","-9,999","80","60","75",,,,"0","2,003","2,001","No",,"No","No",,"No",,"No","0","No","0","No",,"0",,,,,"No",,,,,,"New Construction","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.7380905151","POINT (-96.73809051499995 32.775245667000036)","481130027011","TXA2006105","32.7752456665","FRAZIER FELLOWSHIP","4848 HATCHER ST","DALLAS","TX","75210","FRAZIER FELLOWSHIP LP","553,780","76","60","78.95","0 Eff, 16 1BR, 34 2BR, 0 3BR, 0 4BR","60% AMGI","Yes","0","2,006","2,004",,"Increase in eligible basis","Yes",,,"No",,"No","0",,"0",,,"0",,,,,"No",,,,,,"New Construction","70 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.857196","POINT (-96.85719599999999 32.712889000000075)","481130108041","TXA2001135","32.712889","PRIMROSE OAKS","2999 S HAMPTON RD","DALLAS","TX","75224","PINNACLE FAMILY OF COMPANIES - TEXAS OFFICE","-9,999","250","250","100",,,,"0","2,001","2,001","No","Increase in eligible basis, Tax-exempt bond received","Yes","Yes",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"New Construction","30 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.7358703613","POINT (-96.73587036099997 32.91419601400003)","481130190163","TXA1994195","32.9141960144","NORTH CREEK APTS","9387 PINYON TREE LN","DALLAS","TX","75243","MITCHELL KENNETH H CPA","-9,999","158","158","100","94 Eff, 64 1BR, 0 2BR, 94 3BR, 0 4BR",,,"0","1,994","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6982192993","POINT (-96.69821929899996 32.86429595900006)","481130130072","TXA1990105","32.8642959595","AUTUMN CREEK","10765 E NW HWY","DALLAS","TX","75238","MITCHELL KENNETH H CPA","-9,999","82","82","100","0 Eff, 38 1BR, 40 2BR, 0 3BR, 0 4BR",,,"0","1,990","1,990","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7623519897","POINT (-96.76235198999996 32.86967468300003)","481130078192","TXA1990295","32.8696746826","SPINDLETOP APTS","5929 MELODY LN","DALLAS","TX","75231","MITCHELL KENNETH H CPA","-9,999","204","204","100","0 Eff, 126 1BR, 63 2BR, 0 3BR, 0 4BR",,,"0","1,990","1,990","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.8627166748","POINT (-96.86271667499994 32.785091400000056)","481130205001","TXA2010115","32.7850914001","VILLAGE AT LAKEWEST APTS II","2680 BICKERS ST","DALLAS","TX","75212","LAKEWEST SENIOR HOUSING","-9,999","180","180","100","0 Eff, 180 1BR, 0 2BR, 0 3BR, 0 4BR","60% AMGI",,"0","2,010","2,011","No","Increase in eligible basis, Tax-exempt bond received","Yes","Yes",,,,"No","0","No","0",,,"0",,,,,"No",,,,,,"New Construction","30 % present value","Not in DDA","In a qualified tract","Yes","0"
"-96.7380905151","POINT (-96.73809051499995 32.775245667000036)","481130027011","TXA0000611","32.7752456665","WAHOO FRAZIER TOWNHOMES","4848 HATCHER ST","DALLAS","TX","75210",,"-9,999","95","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.8640670988","POINT (-96.86406709899995 32.87073256200006)","481130098024","TXA1990140","32.870732562","CHAPEL CREEK","3410 HIDALGO DR","DALLAS","TX","75220","MITCHELL KENNETH H CPA","-9,999","192","192","100","0 Eff, 119 1BR, 73 2BR, 0 3BR, 0 4BR",,,"0","1,990","1,990","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.8784713745","POINT (-96.87847137499995 32.675930023000035)","481130109042","TXA1992165","32.6759300232","REDBIRD TRAILS APTS","3636 W RED BIRD LN","DALLAS","TX","75237","REDBIRD TRAILS ASSOC LP","-9,999","252","252","100","0 Eff, 120 1BR, 132 2BR, 0 3BR, 0 4BR",,,"0","1,992","1,992","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6976852417","POINT (-96.69768524199998 32.71326065100004)","481130093042","TXA0000316","32.7132606506","GROVE VILLAGE","7209 GREAT TRINITY FOREST WAY","DALLAS","TX","75217",,"-9,999","229","0","-9,999",,,,"0","-9,999","-9,999",,,,,,,,,"0",,"0",,,"0",,,,,,,,,,,"Not Indicated","Not Indicated",,,"Yes","0"
"-96.7627105713","POINT (-96.76271057099996 32.870647430000076)","481130078183","TXA1995250","32.8706474304","MELODY PLACE APTS","6852 SHADYBROOK LN","DALLAS","TX","75231","TEXAS BROOK APTS LP","-9,999","192","192","100","0 Eff, 90 1BR, 102 2BR, 0 3BR, 0 4BR",,,"0","1,995","1,994","No",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7623519897","POINT (-96.76235198999996 32.86967468300003)","481130078192","TXA1996110","32.8696746826","MELODY VILLAGE APTS","5929 MELODY LN","DALLAS","TX","75231","TEXAS MELODY APTS LP","-9,999","271","271","100","30 Eff, 210 1BR, 26 2BR, 30 3BR, 0 4BR",,,"0","1,996","1,995","No",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.8791275024","POINT (-96.87912750199996 32.758209229000045)","481130107011","TXA2013806","32.7582092285","HILLSIDE WEST SENIORS","3757 FALLS BLUFF DR","DALLAS","TX","75211","HILLSIDE WEST SENIORS LP","-9,999","130","130","100",,"60% AMGI",,"0","2,013","2,011","No","Rental assistance contract","No","No",,,,"No","0","No","0",,,"0",,,,,"No",,,,,,"Not Indicated","Not Indicated","Not in DDA","In a qualified tract","Yes","0"
"-96.8795471191","POINT (-96.87954711899994 32.747940063000044)","481130067001","TXA1993075","32.7479400635","INDIAN RIDGE APTS","3706 W EIGHTH ST","DALLAS","TX","75211","MITCHELL KENNETH H CPA","-9,999","161","161","100","0 Eff, 43 1BR, 112 2BR, 0 3BR, 0 4BR",,,"0","1,993","1,993","No","Increase in eligible basis","Yes",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","In a qualified tract","Yes","0"
"-96.8204879761","POINT (-96.82048797599998 32.699726105000025)","481130059022","TXA1993030","32.6997261047","CLIFF PARK VILLAGE APTS","220 E OVERTON RD","DALLAS","TX","75216","WJ GROUP 1 LTD","-9,999","360","360","100","0 Eff, 80 1BR, 280 2BR, 0 3BR, 0 4BR",,,"0","1,993","1,991","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
"-96.6880569458","POINT (-96.68805694599996 32.815334320000034)","481130123013","TXA1997205","32.8153343201","TIMBER PARK APTS","2714 N BUCKNER BLVD","DALLAS","TX","75228","DALLAS TIMBER PARK ASSOC LTD","-9,999","158","158","100","0 Eff, 24 1BR, 133 2BR, 0 3BR, 0 4BR",,,"0","1,997","1,996","No",,"No","No",,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","70 % present value","Not in DDA","Not in a qualified tract","Yes","0"
"-96.7627105713","POINT (-96.76271057099996 32.870647430000076)","481130078183","TXA1990300","32.8706474304","BROOK APTS","6852 SHADYBROOK LN","DALLAS","TX","75231","MITCHELL KENNETH H CPA","-9,999","192","192","100","0 Eff, 90 1BR, 102 2BR, 0 3BR, 0 4BR",,,"0","1,990","1,990","No",,"No",,,"No",,,"0",,"0",,,"0",,,,,,,,,,,"Acquisition and Rehab","Not Indicated","Not in DDA","Not in a qualified tract","Yes","0"
