OBJECTID,ProjectNum,ProjectID,Name,Description,ProgramYr,Program,Category,Status,Department,Manager,Phone,Email,BondAmount,DsgnAwardA,DsgnAwardE,DsgnCmpltA,DsgnCmpltE,CnstAwardA,CnstAwardE,CnstStartA,CnstStartE,CnstCmpltA,CnstCmpltE,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,CD11,CD12,CD13,CD14,CDCW,LastModDt,DsgnAwardC,DsgnCmpltC,CnstAwardC,CnstStartC,CnstCmpltC,District,OrigBudgeAmt,CurrentBudget,AmountPaid,CurrentCommit,DistrictCurrent,Shape__Length
47477,1007045,PB03P922,Joppa Connector Trail,,2003,Street and Transportation,Hike and Bike Trails,Under Construction,PBW,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,TBD,0,4750671.79,2562284.69,2671889.29,"5,7",5494.28613594011
47478,1007190,PB03R157,Fair Park Link - Exposition to Hall,Design & construct new 5 lane undivided roadway with continuous left turn lane (5th lane) where none currently exists. Consolidated with PB06U203.,2003,Street and Transportation,Intergovernmental Partnership Projects,Under Construction,PBW,Osiris Muhammad,214-948-4541,osiris.muhammad@dallas.gov,5305000,2008/01/23 06:00:00+00,2008/01/23 06:00:00+00,2021/06/11 05:00:00+00,2021/06/11 05:00:00+00,2021/09/22 05:00:00+00,2021/09/22 05:00:00+00,,2022/03/28 05:00:00+00,,2025/09/30 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/01/29 06:00:00+00,2008/01/23 06:00:00+00,2021/06/11 05:00:00+00,2021/09/22 05:00:00+00,2022/03/28 05:00:00+00,2025/09/30 05:00:00+00,02,5305000,-80821.48,0,0,2,1314.4819356242
47479,1007227,PB03R202,Good Latimer Exwy (S)-R L Thornton Frwy to Dawson,Full Reconstruction,2003,Street and Transportation,Street Reconstruction Thoroughfares,Under Construction,STS,,,,938277,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024/07/27 05:00:00+00,,,,,,TBD,938277,-1524881.2,126371.94,68985,2,764.175583235913
47480,1007229,PB03R203,Good Latimer Exwy. (S)-Ferris St. to Corinth St.,Full Reconstruction,2003,Street and Transportation,Street Reconstruction Thoroughfares,Under Construction,PBW,,,,203549,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024/07/27 05:00:00+00,,,,,,TBD,203550,-68346.58,100560.7,53670,"2,Citywide",366.002473478675
47481,1007272,PB03R253,Industrial-S of IH30-N of Commerce,TRN Project 1/13/2023 Partnership project with Dallas County and TxDOT to reconstruct the existing 6 lane road. Total est. cost of $57M. Segment A extends from north of Commerce to Continental and the City has the lead for ongoing construction. Segment B extends from north of Commerce to Cadiz and the County has the lead for ongoing design.,2003,Street and Transportation,Intergovernmental Partnership Projects,Under Construction,PBW,,,,300000,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,,,,,,,300000,300000,0,0,"1,6",3116.66323234398
47482,1007484,PB03R482,Skillman - Audelia - Whitehurst to Adleta,"Project entails designing, including schematics and EA, for the ulitmate LBJ/Skillman interchange configuration. This project entails design only. Partnerhsip project with TxDOT and Dallas County. City administered the design (EA and schematics) and has completed design @ 95% and turned it over to TxDOT to be included in the LBJ East Design-Build Project.",2003,Street and Transportation,Intergovernmental Partnership Projects,Under Construction,STS,Cameron Anderson,,cameron.anderson@dallas.gov,997000,2013/06/26 05:00:00+00,2013/06/26 05:00:00+00,,2017/11/30 06:00:00+00,2019/05/30 05:00:00+00,2019/05/30 05:00:00+00,2019/08/22 05:00:00+00,2019/08/22 05:00:00+00,,2025/09/30 05:00:00+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2024/08/30 05:00:00+00,2013/06/26 05:00:00+00,2017/11/30 06:00:00+00,2019/05/30 05:00:00+00,2019/08/22 05:00:00+00,2025/09/30 05:00:00+00,10,997000,1077389.23,983712,995751.06,"10,Citywide",1573.34694788064
47483,1007625,PB03R724,Winnetka (N) - 1100 Block,"Winnetka (N) - Colorado to Stewart, Phase I, several houses,street flooding, design and construction",2003,Flood Protection and Storm Drainage,Storm Drainage,Under Design,STS,David Phan,,david.phan@dallas.gov,104673,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023/05/04 05:00:00+00,,,,,,TBD,104673,81538.93,75025.86,75025.86,1,780.977285646897
47484,1007643,PB03R803,Community - Harry Hines to N.W. Hwy.,Thoroughfare Design and construction project.  This project has been linked to PB06U247 (Community from NW Hwy to Denton Drive).,2003,Street and Transportation,Thoroughfares,Under Design,PBW,Changho Yi,,changho.yi@dallas.gov,1055362,2006/04/12 05:00:00+00,2006/04/12 05:00:00+00,,2024/07/24 05:00:00+00,,2025/06/25 05:00:00+00,,2025/01/13 06:00:00+00,,2027/01/03 06:00:00+00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2025/02/01 06:00:00+00,2006/04/12 05:00:00+00,2024/07/24 05:00:00+00,2025/06/25 05:00:00+00,2025/01/13 06:00:00+00,2027/01/03 06:00:00+00,06,1055362,-113829.25,230321.96,458166.97,"6,Citywide",2027.2673835407
47485,1007903,PB06T513,Levee Drainage System - Sump A,"Add 875,000 GPM pump station for additional capacity & rehab existing pump station; Extend outfall by 1,100 feet due to Trinity parkway and lakes",2006,Flood Protection and Storm Drainage,Flood Management,Under Construction,STS,Nidia Flores,214-671-9533,nidia.flores@dallas.gov,56157200,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2024/07/30 05:00:00+00,,,,,,TBD,56157200,11414819.43,11426246.95,27360147.75,"1,2,6,Citywide",15967.4073529208
47486,1007913,PB06T523,Middle Peaks Branch - Phase 1 - to Fair Park,"Engineering and construction for Phase I of relief system, from end of Lower Peaks Branch system to west of Fair Park",2006,Flood Protection and Storm Drainage,Storm Drainage,Under Construction,TWM,,,,22340355,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2025/02/05 06:00:00+00,,,,,,TBD,22340355,-18701179.65,4246924.91,4251050.36,"7,Citywide",2654.38334805644
47487,1007914,PB06T524,Middle Peaks Branch - Phase 2 - Fair Park to Haskell,Engineering and construction of Phase II of relief system from Fair Park to Haskell,2006,Flood Protection and Storm Drainage,Storm Drainage,Under Construction,PBW,,,,12566450,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2023/09/13 05:00:00+00,,,,,,TBD,12566450,2978777,2973167.65,2973819.91,"2,7,Citywide",7635.90093712156
47488,1007915,PB06T525,Mill Creek Drainage Relief System - Phase I,"Engineering and construction for first phase of pressure sewer from Trinity River outfall to north of IH-30; eliminates overflow to Sump A, relieves flooding from Old City Park to the levee and in the IH-30 canyon, partial relief for Deep Ellum and Baylor Hospital",2006,Flood Protection and Storm Drainage,Storm Drainage,Under Construction,TWM,Milton Brooks,,,57688760,,,,,,,,,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2025/02/05 06:00:00+00,,,,,,TBD,57688760,36344670.45,41147950.94,46588747.08,"2,7,Citywide",9864.92721189367
47489,1007924,PB06T534,State-Thomas - Antique District (Fairmount & Routh),Includes Fairmount and Routh relief systems,2006,Flood Protection and Storm Drainage,Storm Drainage,Under Construction,TWM,Milton Brooks,,,1084855,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025/01/18 06:00:00+00,,,,,,TBD,1084855,1102293.04,1236169.3,1373916.54,14,1443.99388805948
47490,1007925,PB06T535,State-Thomas - McKinney Ave.,"Includes remaining drainage in McKinney, re-route McKinney relief system in Oak Grove, parallel (or partially combined) Oak Grove system, Greenwood Cemetary, State and Thomas systems, and study of LaTour drainage. Consultant",2006,Flood Protection and Storm Drainage,Storm Drainage,Under Construction,PBW,Milton Brooks,,,3931004,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2023/05/04 05:00:00+00,,,,,,TBD,3931004,2744723.54,3073282.39,3261065.23,14,6144.82130129749
47491,1007926,PB06T536,State-Thomas @ Woodall Rodgers,Design & construction of relief system from Woodall Rodgers/Cedar Springs/State Thomas to the adequate outfall,2006,Flood Protection and Storm Drainage,Storm Drainage,Under Construction,TWM,Milton Brooks,,,11741960,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025/02/05 06:00:00+00,,,,,,TBD,11741960,11979831.09,3393521.46,3817257.5,"14,Citywide",2449.93488397302
47492,1008192,PB06U203,CBD Fair Park Link- Hall St to I-30,Construct a new four lane divided roadway on new right-of-way from Hall St. to Main St. Secure right of way only to accommodate a six lane divided roadway from Main St. to I-30.,2006,Street and Transportation,Thoroughfares,Under Construction,PBW,Osiris Muhammad,214-948-4541,osiris.muhammad@dallas.gov,4125929,2008/01/23 06:00:00+00,2008/01/23 06:00:00+00,2021/06/11 05:00:00+00,2021/06/11 05:00:00+00,2021/09/22 05:00:00+00,2021/09/22 05:00:00+00,,2022/03/28 05:00:00+00,,2025/09/30 05:00:00+00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025/02/01 06:00:00+00,2008/01/23 06:00:00+00,2021/06/11 05:00:00+00,2021/09/22 05:00:00+00,2022/03/28 05:00:00+00,2025/09/30 05:00:00+00,02,4125929,-9866884.81,819624.02,4612414.73,2,3574.63255800433
