layer,ProjectNum,ProjectID,Name,BondAmount,AmountPaid,District,Category,Status,longitude,latitude
Active Bond Program,1006927,EC12S802,UNT Transit Oriented Development,5000000,0,,Economic Development,Under Construction,-96.8042769815,32.6609771045409
Active Bond Program,1007071,PB03R024,N.Beckley Ave.& W. Commerce St. Intersection Improvements,168000,0,,Intergovernmental Partnership Projects,Under Construction,-96.8229790105301,32.7589317184211
Active Bond Program,1007128,PB03R090,Central Signal Computer/ Software Upgrade,1092726,1750360.37,"14,02",Traffic Signal Upgrades - CBD,Under Construction,-96.7967564269771,32.7760801516594
Active Bond Program,1007627,PB03R741,Dallas Centr. Performing Arts-Phase I-Utility Adj.,9003982,2189090.59,,Cultural Arts Facilities,Under Construction,-96.7980647577999,32.789989081045
Active Bond Program,1007718,PB03R916,Dallas Arts District - Artist Square,8775000,0,,Cultural Arts Facilities,Under Construction,-96.7985769541387,32.7907411253888
Active Bond Program,1007720,PB03R918,Latino Cultural Center - Phase 2,876526,0,TBD,Cultural Arts Facilities,Under Construction,-96.7895396653752,32.7878046407759
Active Bond Program,1007723,PB03R921,South Dallas Cultural Center Renovation,1688263,0,,Cultural Arts Facilities,Under Construction,-96.7574557020255,32.7713777052499
Active Bond Program,1007787,PB06P451,City Hall Renovations - Municipal Building Renovations,0,0,,Municipal Courts Facilities,Under Construction,-96.793707207355,32.7814401199859
Active Bond Program,1007793,PB06P675,Ripplewood 2828,0,0,,Erosion Control,Under Construction,-96.6909509006889,32.8128669607503
Active Bond Program,1007808,PB06P795,Central Library - 7th Floor Renovation,0,4664744.7,TBD,Library Facilities,Under Construction,-96.7971430974628,32.7783422485667
Active Bond Program,1007827,PB06P866,Marsh Lane at Gainesborough (Furneaux Creek tributary),0,0,,Bridge Repair and Modification,Under Design,-96.8572816174274,33.0060976561832
Active Bond Program,1007891,PB06T497,Ash Creek - S Fork - Bridges @ Lakeland,4309482,3171890.09,TBD,Flood Management,Under Construction,-96.7024511360794,32.8129154174674
Active Bond Program,1007931,PB06T541,West Dallas - Eagle Ford Sump Basin,2398945,334071.86,,Storm Drainage,Under Design,-96.9237396213664,32.7804929309491
Active Bond Program,1007936,PB06T635,Forest Green Branch Library - Site Acquistion,3088646,0,TBD,Library Facilities,Under Design,-96.7486105227042,32.9066216176384
Active Bond Program,1007940,PB06T639,North Oak Cliff - Site Acquisition,510520,0,,Library Facilities,Under Design,-96.8269661026001,32.7448071024353
Active Bond Program,1007961,PB06T698,Latino Cultural Center - Phase II - Priority 1 - Black Box Theater,2807860,3394786.24,14,Cultural Arts Facilities,Under Construction,-96.78952876983,32.7880480794981
Active Bond Program,1007962,PB06T697,Latino Cultural Center - Phase II Design,957225,524092.08,TBD,Cultural Arts Facilities,Under Construction,-96.7897592700621,32.7875927368148
Active Bond Program,1007964,PB06T704,Dallas Museum of Natural History @ Fair Park - Replace HVAC,450000,313356.99,TBD,Major Maintenance,Under Construction,-96.7631555751104,32.7782027160434
Active Bond Program,1007982,PB06T753,North Central Service Center - Improvements,750429,0,,Major Maintenance,Under Design,-96.7830698446104,32.9889358443901
Active Bond Program,1007989,PB06T809,Marsalis - Ann Arbor Shopping Center Development Support,3700000,0,,Economic Development,Under Construction,-96.8147188069681,32.6913242270496
Active Bond Program,1007990,PB06T815,Skillman Development,4677282,0,,Economic Development,Under Construction,-96.7349704549758,32.87863387988
Active Bond Program,1007991,PB06T825,Cadillac Heights Land Acquisition,22551771,2699035.4,TBD,City Facilities,Under Acquisition,-96.785561174381,32.7412275090948
Active Bond Program,1007995,PB06T836,"Fire Station #06 Replacement - Harwood, 2808 S",7646537,6371600.17,TBD,Fire Department Facilities,Under Construction,-96.7766498850176,32.7651877110918
Active Bond Program,1008004,PB06T847,Central Police - Emergency Generator-HVAC Upgrade,746249,0,,Major Maintenance,Under Construction,-96.7782971080191,32.7820473464721
Active Bond Program,1009223,PB95L137,Dolphin @ Haskell,58000,0,"07,02",Intergovernmental Partnership Projects,Under Construction,-96.737629101617,32.7830874257787
Active Bond Program,1011000,PKGRADY,Sharrock - Niblo Park (formerly Grady Niblo Park),400000,606922.68,03,Historic Restoration,Under Design,-96.9396931248626,32.6838290706163
Active Bond Program,1011077,PKR060001,Anita Martinez Rec Ctr - Replace HVAC,250000,0,,Major Maintenance,Under Construction,-96.8392098566022,32.7807371874866
Active Bond Program,1011078,PKR060002,Anita Martinez Rec Ctr - Repair water damage/gym floor replacement,400000,0,,Major Maintenance,Under Construction,-96.8392474637269,32.7807053412617
Active Bond Program,1011079,PKR060004,Arlington Park Rec Ctr - Electrical Upgrades,350000,0,,Major Maintenance,Under Design,-96.8580562089042,32.8171408999185
Active Bond Program,1011080,PKR060005,Arlington Park Rec Ctr - Foundation,584721,0,,Major Maintenance,Under Design,-96.857791841141,32.8170778880251
Active Bond Program,1011082,PKR060008,Bachman Lake Rec Ctr - Replace HVAC,600000,0,,Major Maintenance,Under Construction,-96.8716897639136,32.8531655862605
Active Bond Program,1011083,PKR060009,Bachman Lake Rec Ctr - Roof Replacement,431089,0,,Roof Replacement,Under Design,-96.871414268455,32.8532937234388
Active Bond Program,1011084,PKR060010,Bachman Lake Rec Ctr - ADA,100000,0,,Major Maintenance,Under Design,-96.871884412838,32.8532407488319
