"OBJECTID","ProjectID","CapproID","Department","Category","Name","Status","Manager","Phone","Email","BondAmount","District 1","District 2","District 3","District 4","District 5","District 6","District 7","District 8","District 9","District 10","District 11","District 12","District 13","District 14","City Wide","LastModDt","DsgnAwardC","DsgnCmpltC","CnstAwardC","CnstStartC","CnstCmpltC","District","Legend"
"1","1422","PB03R201","PBW","Street Reconstruction Thoroughfares","Good Latimer Exwy (S) -Dawson St. to Ferris St.","Under Award - Design","Greg Ajemian","214.671.9504","gregory.ajemian@dallascityhall.com","$1,150,909.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Aug 08 02:46:31 PM","03/09/2005","08/31/2016","04/12/2017","06/12/2017","07/12/2018","2,Citywide","Public Works - Street"
"2","1638","PB03R468","PBW","Intergovernmental Partnership Projects","SH 183 - IH 35E to Elm Fork","On Hold","Haroon Abdoh",,,"$750,000.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Sep 06 06:54:12 PM",,,,,,"6","Public Works - Other"
"3","644","PB03R276","PBW","Intergovernmental Partnership Projects","Katy Trail Ext. - Skillman to White Rock Station","Under Award - Construction","Anshi Jin",,"anshi.jin@dallascityhall.com","$1,052,000.00","false","false","false","false","false","false","false","false","true","false","false","false","false","true","false","2016 Aug 15 08:42:08 AM","02/27/2008","04/05/2010","04/13/2011","12/16/2011","06/30/2016","9,14","Public Works - Other"
"4","1423","PB03R202","PBW","Street Reconstruction Thoroughfares","Good Latimer Exwy (S)-R L Thornton Frwy to Dawson","Under Award - Design","Greg Ajemian","214-671-9504","gregory.ajemian@dallascityhall.com","$938,277.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 08 02:46:31 PM","03/09/2005","08/31/2016","04/12/2017","06/12/2017","07/12/2018","2","Public Works - Street"
"5","1714","PB03R553","PBW","Street Petitions","Watson Dr - 56th St south to dead end","Under Award - Construction","Greg Ajemian","214.671-9504","gregory.ajemian@dallascityhall.com","$663,505.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 15 08:37:57 AM","04/12/2006","08/15/2014","11/12/2014","04/13/2015","02/29/2016","8","Public Works - Street"
"6","1506","PB03R308","PBW","Street Petitions","Lauderdale Dr - 56th St south to dead-end","Under Award - Construction","Greg Ajemian","214.671.9504","gregory.ajemian@dallascityhall.com","$596,535.00","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","2016 Aug 15 08:38:31 AM","04/12/2006","08/15/2014","11/12/2014","04/13/2015","02/29/2016","8","Public Works - Street"
"7","1424","PB03R203","PBW","Street Reconstruction Thoroughfares","Good Latimer Exwy. (S)-Ferris St. to Corinth St.","Under Award - Design","Greg Ajemian","214.671.9504","gregory.ajemian@dallascityhall.com","$203,549.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 May 31 11:24:11 AM","03/09/2005","08/31/2016","04/12/2017","06/12/2017","07/12/2018","2,Citywide","Public Works - Street"
"8","1814","PB03R838","PBW","Intergovernmental Partnership Projects","LBJ/IH 635 - Luna to US 75 (LBJ Managed Lane)","Under Award - Construction","Tim Starr","214-670-5662",,"$5,000,000.00","false","false","false","false","false","true","false","false","false","false","true","false","true","false","false","2016 Sep 06 11:45:07 AM","06/01/1910","09/01/2012","06/01/1910","12/01/2010","12/01/2016","6,11,13","Public Works - Other"
"9","1782","PB03R796","PBW","Thoroughfares","Burbank  - Denton to Loop 354/ Harry Hines","Under Award - Construction","Matt Stevens","(214) 948-4163",,"$1,682,808.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 12 07:29:07 PM","03/22/2006","04/01/2013","08/14/2013","12/16/2013","10/30/2016","2","Public Works - Other"
"10","1789","PB03R803","PBW","Thoroughfares","Community  - Harry Hines to N.W. Hwy.","Under Award - Design","Anshi Jin","214-948-4253","anshi.jin@dallascityhall.com","$1,055,362.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","true","2016 Sep 06 11:45:07 AM","04/12/2006","09/29/2016","01/16/2017","04/15/2017","08/30/2018","6,Citywide","Public Works - Other"
"11","1772","PB03R724","TWM","Storm Drainage","Winnetka (N) - 1100 Block","Under Award - Design","David Phan","948-4682","david.phan@dallascityhall.com","$104,673.00","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 31 02:49:50 PM","04/12/2006","12/19/2014","12/14/2016","01/09/2017","04/24/2017","3","Trinity Watershed Management"
"12","20050","PB06T512","TWM","Flood Management","Levee Drainage System - Pressure Sewers","Under Award - Design","Lonnie Geiger","214-948-4126","lonnie.geiger@dallascityhall.com","$14,720,921.00","true","false","false","false","false","true","false","false","false","false","false","false","false","false","true","2014 Dec 17 01:15:11 PM","06/13/2007",,"04/22/2016",,"04/30/2019","1,6,Citywide","Trinity Watershed Management"
"13","19434","PB06U781","PBW","Thoroughfares","Chalk Hill Rd - Davis St to 800' south of IH-30","Under Award - Construction","Matt Stevens","214-948-4163","matthew.stevens@dallascityhall.com","$9,183,365.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Aug 12 04:22:18 PM","01/23/2008","08/07/2015","11/10/2015","03/14/2016","09/30/2017","6","Public Works - Other"
"14","20425","PB06T534","TWM","Storm Drainage","State-Thomas - Antique District (Fairmount & Routh)","Under Award - Construction","Milton Brooks","(214) 948-4015","milton.brooks@dallascityhall.com","$1,084,855.00","false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","2015 Jun 16 08:54:50 AM","09/26/2007","04/30/2013","08/28/2013","02/03/2014","03/30/2015","14","Trinity Watershed Management"
"15","20370","PB06U228","PBW","Intergovernmental Partnership Projects","SH 78 - Buckner (Loop 12) to IH 635","Under Award - Construction","Chiamin Korngiebel",,,"$191,445.00","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","2016 Apr 15 06:53:22 PM","04/01/1900","12/01/2012","02/01/1915","08/15/2015","12/01/2016","9","Public Works - Other"
"16","20031","PB06T513","TWM","Flood Management","Levee Drainage System - Sump A","Under Award - Construction","Lonnie Geiger","214-948-4126","lonnie.geiger@dallascityhall.com","$56,157,200.00","false","true","false","false","false","true","false","false","false","false","false","false","false","false","true","2015 Aug 31 02:47:51 PM","11/10/2008","06/11/2014","08/27/2014","11/18/2014","11/18/2017","2,6,Citywide","Trinity Watershed Management"
"17","19447","PB06U205","PBW","Intergovernmental Partnership Projects","Cockrell Hill - La Reunion to Singleton","Under Award - Design","Cecelia Rutherford","214-948-4631","cecelia.rutherford@dallascityhall.com","$5,679,535.00","false","false","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Sep 06 06:47:31 PM","04/13/1910","05/02/2016","02/01/1918","04/30/2018","04/30/2020","6","Public Works - Other"
"18","20227","PB06U748","PBW","Streetscape / Urban Design","Pedestrian Way on Elm Street between Ervay and Stone Street","On Hold","Barbara Reading","214-948-4244",,"$2,335,629.00","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","2016 Aug 29 10:40:32 AM",,,,,,"Citywide","Public Works - Street"
"19","19559","PB06U209","PBW","Intergovernmental Partnership Projects","Davis - Hampton to Westmoreland","On Hold","Chiamin Korngiebel","214-670-1228",,"$5,296,645.00","true","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2016 Feb 29 10:37:44 PM",,,,,,"1,3","Public Works - Other"
"20","19490","PB06U733","PBW","Streetscape / Urban Design","Commerce from Good-Latimer to Hall","Under Award - Design","Vincent Lewis","214-948-4244","vincent.lewis@dallascityhall.com","$1,743,681.00","false","true","false","false","false","false","false","false","false","false","false","false","false","false","false","2016 Aug 29 10:40:32 AM","08/27/2008","03/29/2016","03/24/2017","06/23/2017","12/31/2018","2","Public Works - Street"
"21","19448","PB06U206","PBW","Intergovernmental Partnership Projects","Cockrell Hill from Davis to the City Limits","Under Award - Construction","Aniswarie Kanamazina",,,"$446,705.00","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false","2016 Sep 06 06:47:31 PM",,"05/31/2016","08/12/2015","10/31/2016","08/31/2018","3","Public Works - Other"
"22","19901","PB06U215","PBW","Intergovernmental Partnership Projects","Riverfront Blvd - Cadiz St to Continental Ave","Under Award - Construction","Mary Zackary","214-671-9507","mary.zackary@dallascityhall.com","$5,488,090.00","true","true","false","false","false","true","false","false","false","false","false","false","false","false","false","2016 Jun 28 03:17:32 PM","04/08/2009","01/30/2013","05/14/2014","06/02/2014","01/31/2017","1,2,6","Public Works - Other"
