GEOID,district_num
48113016638,6
48113013630,12
48113012211,5
48113012400,9
48113016513,6
48113016517,6
48113016518,6
48113016519,6
48113016607,6
48113016610,7
48113013609,11
48113013610,11
48113013611,12
48113015306,4
48113015403,4
48113015404,4
48113015500,4
48113015600,4
48113007914,2
48113013625,12
48113018134,11
48113017605,8
48113011701,8
48113011702,8
48113012000,8
48113012206,5
48113012207,5
48113012208,5
48113010704,6
48113980100,1
48113000605,2
48113016407,4
48113007101,13
48113018002,5
48113009105,8
48113012210,5
48113009610,12
48113014121,12
48113004201,14
48113017102,8
48113011105,7
48113005901,7
48113006001,7
48113006002,7
48113006200,7
48113006301,6
48113006302,6
48113006501,6
48113006502,6
48113011300,7
48113002100,14
48113001202,5
48113001203,9
48113016903,8
48113016617,6
48113008703,7
48113014002,12
48113014124,3
48113014209,3
48113018508,11
48113015304,4
48113016406,4
48113018205,11
48113011500,5
48113005902,7
48113007601,10
48113007604,10
48113007605,10
48113007801,2
48113007805,11
48113004700,14
48113004800,7
48113005000,7
48113005100,6
48113005200,6
48113002500,5
48113019019,11
48113005400,7
48113005500,7
48113005300,6
48113005600,7
48113013624,12
48113005700,7
48113007815,11
48113007819,2
48113007902,9
48113002200,14
48113002400,5
48113008000,9
48113008200,9
48113011401,7
48113008802,7
48113009603,10
48113009604,10
48113009605,12
48113009607,12
48113009608,12
48113009609,10
48113009611,12
48113009702,1
48113009202,8
48113009301,8
48113009304,8
48113008500,5
48113008604,7
48113008701,7
48113008704,7
48113008801,7
48113009802,1
48113009104,8
48113018144,11
48113016524,6
48113018146,11
48113018507,11
48113019045,11
48113019047,11
48113012802,11
48113016530,6
48113008402,5
48113016531,6
48113019051,11
48113019216,11
48113008101,9
48113018151,11
48113013202,11
48113013012,11
48113008102,9
48113016527,6
48113000801,9
48113000902,9
48113014142,3
48113012801,11
48113021200,4
48113007915,2
48113012502,11
48113012501,5
48113016635,6
48113016534,6
48113007702,10
48113007830,2
48113013808,12
48113014704,3
48113007206,1
48113016420,4
48113010001,1
48113007831,2
48113016532,6
48113013807,12
48113014157,3
48113014156,3
48113014141,12
48113014314,3
48113014318,3
48113014155,3
48113014158,3
48113014409,3
48113014410,3
48113014316,3
48113015406,4
48113014140,3
48113014154,3
48113014147,3
48113014153,3
48113015101,4
48113015208,4
48113015002,4
48113014144,3
48113014313,3
48113014320,3
48113016634,7
48113007203,1
48113019215,11
48113019214,11
48113013729,12
48113002001,14
48113010002,14
48113000705,2
48113016636,6
48113016528,6
48113016526,6
48113016419,4
48113016204,4
48113016536,6
48113000706,2
48113001901,14
48113001801,14
48113000703,9
48113001802,14
48113000610,13
48113000407,13
48113000408,13
48113016533,6
48113016535,6
48113003103,14
48113010809,6
48113006701,6
48113014149,3
48113007916,2
48113013631,10
48113013107,11
48113019049,11
48113980200,11
48113018150,11
48113016708,7
48113020800,5
48113000802,9
48113001602,14
48113020401,14
48113015207,4
48113015102,4
48113015001,4
48113014143,3
48113010906,6
48113002002,14
48113000607,2
48113016203,4
48113016421,6
48113016414,6
48113000501,2
48113000503,2
48113000502,14
48113010905,6
48113000409,13
48113001902,14
48113000704,9
48113001705,14
48113000609,13
48113000611,13
48113003102,14
48113010808,6
48113006702,6
48113010806,6
48113011004,6
48113011003,6
48113013628,12
48113013629,12
48113014145,3
