"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US48113","Dallas County, Texas","2412481","*****","1484063","*****","785993","665","524707","1967","4543","476","125880","1074","1010","97","4135","733","37795","1991","2071","518","35724","1941","928418","*****","603611","5866","7851","1056","4278","791","1171","372","274","161","287942","5736","23291","1846","15207","1407","8084","1253",
"1400000US48113000100","Census Tract 1, Dallas County, Texas","3981","284","3597","290","3295","267","160","181","33","35","15","18","0","13","34","55","60","60","0","13","60","60","384","186","353","185","0","13","0","13","0","13","0","13","31","24","0","13","0","13","0","13",
"1400000US48113000201","Census Tract 2.01, Dallas County, Texas","2825","249","2514","199","2484","198","8","13","5","10","8","12","0","13","0","13","9","15","9","15","0","13","311","172","258","170","0","13","0","13","0","13","0","13","45","46","8","13","0","13","8","13",
"1400000US48113000202","Census Tract 2.02, Dallas County, Texas","3582","246","3200","220","2856","237","125","94","45","51","81","78","0","13","0","13","93","57","0","13","93","57","382","124","278","87","0","13","0","13","0","13","0","13","89","88","15","22","15","22","0","13",
"1400000US48113000300","Census Tract 3, Dallas County, Texas","4210","351","3569","448","3437","443","32","53","0","13","59","69","0","13","0","13","41","40","0","13","41","40","641","262","446","207","0","13","0","13","0","13","0","13","189","184","6","15","6","15","0","13",
"1400000US48113000401","Census Tract 4.01, Dallas County, Texas","5361","677","2629","447","1006","203","778","301","0","18","723","264","0","18","0","18","122","76","0","18","122","76","2732","526","912","410","0","18","0","18","0","18","0","18","1763","646","57","43","33","31","24","38",
"1400000US48113000404","Census Tract 4.04, Dallas County, Texas","3647","542","1823","318","1197","168","66","49","0","13","516","335","0","13","0","13","44","37","0","13","44","37","1824","506","826","376","0","13","0","13","0","13","0","13","905","463","93","137","84","137","9","14",
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","2716","412","1620","302","418","171","589","306","12","14","389","249","0","13","0","13","212","266","0","13","212","266","1096","375","430","295","0","13","0","13","0","13","0","13","656","263","10","15","10","15","0","13",
"1400000US48113000406","Census Tract 4.06, Dallas County, Texas","7705","870","1375","368","763","316","90","99","0","18","435","180","0","18","0","18","87","92","0","18","87","92","6330","993","2354","762","0","18","0","18","0","18","0","18","3844","958","132","147","50","78","82","123",
