"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"0500000US48113","Dallas County, Texas","49481","392",
"1400000US48113000100","Census Tract 1, Dallas County, Texas","95250","19390",
"1400000US48113000201","Census Tract 2.01, Dallas County, Texas","88750","29005",
"1400000US48113000202","Census Tract 2.02, Dallas County, Texas","91776","13494",
"1400000US48113000300","Census Tract 3, Dallas County, Texas","86689","8553",
"1400000US48113000401","Census Tract 4.01, Dallas County, Texas","45371","7110",
"1400000US48113000404","Census Tract 4.04, Dallas County, Texas","43675","5827",
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","25117","5179",
"1400000US48113000406","Census Tract 4.06, Dallas County, Texas","38328","6436",
"1400000US48113000500","Census Tract 5, Dallas County, Texas","53950","5460",
"1400000US48113000601","Census Tract 6.01, Dallas County, Texas","46331","9318",
"1400000US48113000603","Census Tract 6.03, Dallas County, Texas","92945","6332",
"1400000US48113000605","Census Tract 6.05, Dallas County, Texas","71875","21617",
"1400000US48113000606","Census Tract 6.06, Dallas County, Texas","88534","21001",
"1400000US48113000701","Census Tract 7.01, Dallas County, Texas","100593","7264",
"1400000US48113000702","Census Tract 7.02, Dallas County, Texas","55968","5617",
"1400000US48113000800","Census Tract 8, Dallas County, Texas","41533","4816",
"1400000US48113000900","Census Tract 9, Dallas County, Texas","38750","8585",
"1400000US48113001001","Census Tract 10.01, Dallas County, Texas","66935","23874",
"1400000US48113001002","Census Tract 10.02, Dallas County, Texas","59795","8945",
"1400000US48113001101","Census Tract 11.01, Dallas County, Texas","58321","7552",
"1400000US48113001102","Census Tract 11.02, Dallas County, Texas","90926","25337",
"1400000US48113001202","Census Tract 12.02, Dallas County, Texas","41641","11083",
"1400000US48113001203","Census Tract 12.03, Dallas County, Texas","74076","27605",
"1400000US48113001204","Census Tract 12.04, Dallas County, Texas","27609","6212",
"1400000US48113001301","Census Tract 13.01, Dallas County, Texas","43875","9584",
"1400000US48113001302","Census Tract 13.02, Dallas County, Texas","40000","12086",
"1400000US48113001400","Census Tract 14, Dallas County, Texas","35909","3416",
