"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"0500000US48113","Dallas County, Texas","858332","2568","451047","3070","407285","2574",
"1400000US48113000100","Census Tract 1, Dallas County, Texas","1854","102","1212","142","642","146",
"1400000US48113000201","Census Tract 2.01, Dallas County, Texas","1382","93","1063","105","319","88",
"1400000US48113000202","Census Tract 2.02, Dallas County, Texas","1853","106","1054","130","799","134",
"1400000US48113000300","Census Tract 3, Dallas County, Texas","2138","157","1052","154","1086","188",
"1400000US48113000401","Census Tract 4.01, Dallas County, Texas","1551","109","193","72","1358","125",
"1400000US48113000404","Census Tract 4.04, Dallas County, Texas","1759","129","841","142","918","154",
"1400000US48113000405","Census Tract 4.05, Dallas County, Texas","1127","129","116","57","1011","135",
"1400000US48113000406","Census Tract 4.06, Dallas County, Texas","2303","148","1046","180","1257","203",
"1400000US48113000500","Census Tract 5, Dallas County, Texas","2676","223","677","153","1999","230",
"1400000US48113000601","Census Tract 6.01, Dallas County, Texas","2621","196","581","124","2040","209",
"1400000US48113000603","Census Tract 6.03, Dallas County, Texas","2513","199","1049","165","1464","254",
"1400000US48113000605","Census Tract 6.05, Dallas County, Texas","1515","138","729","145","786","161",
"1400000US48113000606","Census Tract 6.06, Dallas County, Texas","2058","140","1371","168","687","159",
"1400000US48113000701","Census Tract 7.01, Dallas County, Texas","2832","186","760","154","2072","198",
"1400000US48113000702","Census Tract 7.02, Dallas County, Texas","1921","177","393","135","1528","180",
"1400000US48113000800","Census Tract 8, Dallas County, Texas","2699","151","429","119","2270","167",
"1400000US48113000900","Census Tract 9, Dallas County, Texas","2262","185","329","136","1933","218",
"1400000US48113001001","Census Tract 10.01, Dallas County, Texas","878","76","359","76","519","96",
"1400000US48113001002","Census Tract 10.02, Dallas County, Texas","988","72","378","77","610","91",
"1400000US48113001101","Census Tract 11.01, Dallas County, Texas","1748","125","838","135","910","124",
"1400000US48113001102","Census Tract 11.02, Dallas County, Texas","1290","71","700","98","590","119",
"1400000US48113001202","Census Tract 12.02, Dallas County, Texas","1654","137","404","87","1250","135",
"1400000US48113001203","Census Tract 12.03, Dallas County, Texas","547","28","458","38","89","36",
"1400000US48113001204","Census Tract 12.04, Dallas County, Texas","662","74","410","53","252","68",
"1400000US48113001301","Census Tract 13.01, Dallas County, Texas","1342","108","348","88","994","125",
"1400000US48113001302","Census Tract 13.02, Dallas County, Texas","1190","96","250","77","940","121",
"1400000US48113001400","Census Tract 14, Dallas County, Texas","1646","134","409","80","1237","141",
"1400000US48113001502","Census Tract 15.02, Dallas County, Texas","1273","107","278","77","995","129",
"1400000US48113001503","Census Tract 15.03, Dallas County, Texas","1318","118","0","13","1318","118",
"1400000US48113001504","Census Tract 15.04, Dallas County, Texas","1243","104","172","56","1071","109",
"1400000US48113001600","Census Tract 16, Dallas County, Texas","2109","135","584","116","1525","171",
"1400000US48113001701","Census Tract 17.01, Dallas County, Texas","192","48","75","30","117","43",
"1400000US48113001703","Census Tract 17.03, Dallas County, Texas","2106","156","518","90","1588","156",
"1400000US48113001704","Census Tract 17.04, Dallas County, Texas","925","122","220","85","705","124",
"1400000US48113001800","Census Tract 18, Dallas County, Texas","2464","202","199","74","2265","205",
"1400000US48113001900","Census Tract 19, Dallas County, Texas","2766","227","295","135","2471","225",
"1400000US48113002000","Census Tract 20, Dallas County, Texas","2232","150","246","95","1986","166",
"1400000US48113002100","Census Tract 21, Dallas County, Texas","1037","54","0","13","1037","54",
"1400000US48113002200","Census Tract 22, Dallas County, Texas","1145","121","188","53","957","123",
"1400000US48113002400","Census Tract 24, Dallas County, Texas","884","106","424","101","460","116",
"1400000US48113002500","Census Tract 25, Dallas County, Texas","1614","136","853","116","761","142",
"1400000US48113002701","Census Tract 27.01, Dallas County, Texas","1058","123","359","95","699","129",
"1400000US48113002702","Census Tract 27.02, Dallas County, Texas","577","83","241","65","336","72",
"1400000US48113003101","Census Tract 31.01, Dallas County, Texas","1948","136","229","72","1719","144",
"1400000US48113003400","Census Tract 34, Dallas County, Texas","650","59","123","48","527","77",
"1400000US48113003700","Census Tract 37, Dallas County, Texas","1179","118","453","125","726","159",
"1400000US48113003800","Census Tract 38, Dallas County, Texas","793","111","311","80","482","102",
"1400000US48113003901","Census Tract 39.01, Dallas County, Texas","585","102","148","65","437","115",
"1400000US48113003902","Census Tract 39.02, Dallas County, Texas","684","87","267","81","417","97",
"1400000US48113004000","Census Tract 40, Dallas County, Texas","412","68","195","53","217","58",
"1400000US48113004100","Census Tract 41, Dallas County, Texas","374","73","138","42","236","64",
"1400000US48113004201","Census Tract 42.01, Dallas County, Texas","1542","113","1009","137","533","145",
"1400000US48113004202","Census Tract 42.02, Dallas County, Texas","982","63","396","59","586","84",
"1400000US48113004300","Census Tract 43, Dallas County, Texas","601","70","417","75","184","81",
"1400000US48113004400","Census Tract 44, Dallas County, Texas","1502","89","1030","84","472","99",
"1400000US48113004500","Census Tract 45, Dallas County, Texas","1876","130","1110","129","766","136",
"1400000US48113004600","Census Tract 46, Dallas County, Texas","711","90","369","72","342","98",
"1400000US48113004700","Census Tract 47, Dallas County, Texas","1006","78","257","73","749","106",
"1400000US48113004800","Census Tract 48, Dallas County, Texas","773","79","219","68","554","87",
"1400000US48113004900","Census Tract 49, Dallas County, Texas","1268","113","797","111","471","122",
"1400000US48113005000","Census Tract 50, Dallas County, Texas","1244","88","575","85","669","108",
"1400000US48113005100","Census Tract 51, Dallas County, Texas","757","68","508","76","249","82",
"1400000US48113005200","Census Tract 52, Dallas County, Texas","1262","85","812","109","450","104",
"1400000US48113005300","Census Tract 53, Dallas County, Texas","1906","106","1328","178","578","180",
"1400000US48113005400","Census Tract 54, Dallas County, Texas","1558","109","992","122","566","143",
"1400000US48113005500","Census Tract 55, Dallas County, Texas","1185","110","853","125","332","114",
"1400000US48113005600","Census Tract 56, Dallas County, Texas","1843","94","1035","131","808","147",
