GEOID,income_2013,home_val_2013,total_units_2013,owner_occ_2013,renter_occ_2013,pop_2013,white_2013,black_2013,hispanic_2013
48113000100,95250.0,475000.0,1854.0,1212.0,642.0,3981.0,3295.0,160.0,384.0
48113000201,88750.0,306600.0,1382.0,1063.0,319.0,2825.0,2484.0,8.0,311.0
48113000202,91776.0,324400.0,1853.0,1054.0,799.0,3582.0,2856.0,125.0,382.0
48113000300,86689.0,333300.0,2138.0,1052.0,1086.0,4210.0,3437.0,32.0,641.0
48113000401,45371.0,107000.0,1551.0,193.0,1358.0,5361.0,1006.0,778.0,2732.0
48113000404,43675.0,109700.0,1759.0,841.0,918.0,3647.0,1197.0,66.0,1824.0
48113000405,25117.0,180300.0,1127.0,116.0,1011.0,2716.0,418.0,589.0,1096.0
48113000406,38328.0,89800.0,2303.0,1046.0,1257.0,7705.0,763.0,90.0,6330.0
48113000500,53950.0,217800.0,2676.0,677.0,1999.0,4182.0,1973.0,272.0,1598.0
48113000601,46331.0,351800.0,2621.0,581.0,2040.0,6129.0,1877.0,168.0,3606.0
48113000603,92945.0,295400.0,2513.0,1049.0,1464.0,4144.0,2932.0,162.0,597.0
48113000605,71875.0,257000.0,1515.0,729.0,786.0,2174.0,1368.0,136.0,332.0
48113000606,88534.0,255600.0,2058.0,1371.0,687.0,2950.0,2464.0,74.0,160.0
48113000701,100593.0,249700.0,2832.0,760.0,2072.0,4264.0,3302.0,154.0,488.0
48113000702,55968.0,215300.0,1921.0,393.0,1528.0,2799.0,2051.0,0.0,415.0
48113000800,41533.0,121400.0,2699.0,429.0,2270.0,6373.0,1502.0,948.0,3541.0
48113000900,38750.0,310200.0,2262.0,329.0,1933.0,4387.0,1545.0,79.0,2628.0
48113001001,66935.0,294800.0,878.0,359.0,519.0,1751.0,1333.0,0.0,355.0
48113001002,59795.0,247500.0,988.0,378.0,610.0,2196.0,1117.0,25.0,975.0
48113001101,58321.0,258000.0,1748.0,838.0,910.0,3538.0,2516.0,20.0,939.0
48113001102,90926.0,300800.0,1290.0,700.0,590.0,2430.0,2019.0,30.0,256.0
