NAME,B19013_001E,B25077_001E,B25003_001E,B25003_002E,B25003_003E,B01003_001E,B03002_003E,B03002_004E,B03002_012E,state,county,tract
Census Tract 1; Dallas County; Texas,178472,1065500,1798,1208,590,4450,3302,244,468,48,113,000100
Census Tract 2.01; Dallas County; Texas,195000,667300,1254,996,258,3088,2691,127,187,48,113,000201
Census Tract 2.02; Dallas County; Texas,147708,700400,1730,904,826,3829,3034,189,344,48,113,000202
Census Tract 3; Dallas County; Texas,100409,797300,2115,1040,1075,4133,3226,109,447,48,113,000300
Census Tract 4.01; Dallas County; Texas,58232,285600,2101,183,1918,4666,1226,1055,1867,48,113,000401
Census Tract 4.05; Dallas County; Texas,45300,234200,1314,138,1176,1897,516,964,300,48,113,000405
Census Tract 4.07; Dallas County; Texas,58934,435800,1067,230,837,2235,376,171,1533,48,113,000407
Census Tract 4.08; Dallas County; Texas,71723,194600,1485,632,853,2408,1117,339,641,48,113,000408
Census Tract 4.09; Dallas County; Texas,69398,-666666666,2842,152,2690,4139,1170,590,1038,48,113,000409
Census Tract 4.10; Dallas County; Texas,44936,276900,1466,1132,334,4011,500,14,3427,48,113,000410
Census Tract 5.01; Dallas County; Texas,83842,279600,1478,111,1367,2036,891,244,424,48,113,000501
Census Tract 5.02; Dallas County; Texas,119261,544000,1531,520,1011,2233,1728,80,354,48,113,000502
Census Tract 5.03; Dallas County; Texas,77750,169300,1526,149,1377,2147,1243,308,273,48,113,000503
Census Tract 6.05; Dallas County; Texas,109707,336600,1587,821,766,2217,1320,96,333,48,113,000605
Census Tract 6.06; Dallas County; Texas,136250,435300,1757,1262,495,2828,2116,156,299,48,113,000606
Census Tract 6.07; Dallas County; Texas,115972,595400,1231,603,628,1772,1225,40,263,48,113,000607
Census Tract 6.08; Dallas County; Texas,119044,481300,1668,1007,661,2572,1361,83,634,48,113,000608
Census Tract 6.09; Dallas County; Texas,91250,614200,1034,440,594,1628,1021,209,310,48,113,000609
Census Tract 6.10; Dallas County; Texas,47210,-666666666,1030,27,1003,2326,495,95,1673,48,113,000610
Census Tract 6.11; Dallas County; Texas,71020,228700,1369,312,1057,2257,816,223,649,48,113,000611
Census Tract 7.03; Dallas County; Texas,116250,492000,1999,790,1209,3075,1997,273,255,48,113,000703
Census Tract 7.04; Dallas County; Texas,134531,-666666666,2300,28,2272,3332,2549,158,353,48,113,000704
Census Tract 7.05; Dallas County; Texas,124250,438000,1482,481,1001,2357,1966,71,231,48,113,000705
Census Tract 7.06; Dallas County; Texas,130206,570300,1598,46,1552,2249,1789,45,350,48,113,000706
Census Tract 8.01; Dallas County; Texas,74670,457400,1705,526,1179,3674,995,1040,1322,48,113,000801
Census Tract 8.02; Dallas County; Texas,79415,835400,1771,162,1609,3228,1339,410,1292,48,113,000802
