GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi
48113016638,Census Tract 166.38,1868,72976.0,52.4,24.9,77.3,73.3,31.4,1,0,0,0.5,0,,0,0,Susceptible,1,0.3536206613425909,Adjacent,0,8.0,4.0,0.14814814814814814,0.5,29.326358065724424,Moderate,0.0006199455395022
48113013630,Census Tract 136.30,2396,60769.0,31.5,38.6,70.1,90.5,14.1,0,0,0,0.5,0,,0,0,Stable,0,0.14709880896066174,Adjacent,0,8.0,2.0,0.3333333333333333,0.25,26.24998619117731,Moderate,0.102724161603966
48113012211,Census Tract 122.11,4753,39439.0,32.8,52.7,85.5,80.3,37.7,0,0,0,0.5,1,Far East Dallas PID,1,0,Stable,1,1.1458200507892145,Low,0,4.0,0.0,0.19047619047619047,0.0,31.423210072221806,Moderate,0.0093388297843904
48113012400,Census Tract 124,4933,77606.0,2.0,31.5,33.5,20.3,11.4,0,0,0,0.5,0,,0,0,Stable,0,-0.8274816535108211,Adjacent,0,44.0,1.0,0.2682926829268293,0.022727272727272728,19.56130946894824,Low,0.016271912819559
48113016513,Census Tract 165.13,6240,149831.0,37.0,26.3,63.3,8.3,27.4,1,0,0,0.5,0,,0,0,Stable,0,-0.39908959720457426,Sustained,0,55.0,25.0,0.3767123287671233,0.45454545454545453,26.455551390727948,Moderate,0.0006199455395022
48113016517,Census Tract 165.17,4650,71105.0,37.8,42.4,80.2,46.3,38.1,1,0,0,0.5,0,,0,0,Stable,0,0.2587194317580579,Low,0,15.0,2.0,0.3125,0.13333333333333333,30.537377703860113,Moderate,0.000622162202931
48113016518,Census Tract 165.18,6113,57987.0,33.0,50.5,83.5,56.0,36.4,1,0,0,0.5,0,,0,0,Stable,0,0.3429441494228502,Adjacent,0,14.0,2.0,0.21875,0.14285714285714285,30.93651539122728,Moderate,0.000622162202931
48113016519,Census Tract 165.19,2358,100993.0,11.7,49.4,61.1,17.3,53.5,1,0,0,0.5,0,,0,0,Stable,0,0.09975547238990534,Accelerating,0,15.0,4.0,0.32608695652173914,0.26666666666666666,28.811563997500155,Moderate,0.0006129535780676
48113016607,Census Tract 166.07,3667,27913.0,78.7,14.5,93.2,100.0,45.5,1,0,0,0.5,0,,0,0,Stable,1,1.5155169670614832,Low,0,,,,,33.589831049855135,Moderate,0.0003480713319617
48113016610,Census Tract 166.10,3616,45917.0,80.1,9.5,89.6,52.9,26.7,1,0,0,0.5,0,,0,0,Stable,0,0.7593695564313383,Adjacent,0,26.0,15.0,0.37681159420289856,0.5769230769230769,30.985642078719412,Moderate,0.0238658731349458
48113013609,Census Tract 136.09,3486,89375.0,4.3,41.6,45.9,52.6,41.5,0,0,0,0.5,0,,0,0,Stable,0,0.06878045717920223,Accelerating,0,16.0,2.0,0.3137254901960784,0.125,24.891685940771367,Low,0.1053632496070816
48113013610,Census Tract 136.10,3705,80053.0,4.9,38.9,43.8,33.5,31.7,0,0,0,0.5,0,,0,0,Stable,0,-0.2802035266278171,Adjacent,0,28.0,2.0,0.28,0.07142857142857142,23.4952837850797,Low,0.1059310423804757
48113013611,Census Tract 136.11,2693,137327.0,4.1,11.2,15.3,32.6,8.4,0,0,0,0.5,0,,0,0,Stable,0,-0.9318731297899281,Sustained,0,11.0,0.0,0.2619047619047619,0.0,16.060682633511842,Low,0.1018300824684874
48113015306,Census Tract 153.06,6443,93884.0,11.2,46.1,57.3,26.3,31.9,0,0,0,0.5,0,,0,0,Stable,0,-0.22030909429234094,Accelerating,0,31.0,3.0,0.36046511627906974,0.0967741935483871,25.87863861401892,Moderate,0.0283779731482009
48113015403,Census Tract 154.03,3768,54110.0,41.7,43.0,84.7,69.8,47.5,0,0,0,0.5,0,,0,0,Stable,1,1.2133432586276778,Low,0,4.0,0.0,0.18181818181818182,0.0,32.312056084467294,Moderate,0.0330911236379305
48113015404,Census Tract 154.04,4124,52064.0,13.1,74.0,87.1,72.8,20.7,0,0,0,0.5,0,,0,0,Stable,1,0.8082086723039982,Low,0,6.0,0.0,0.15384615384615385,0.0,29.91807755941418,Moderate,0.0323223321330208
48113015500,Census Tract 155,3661,71441.0,8.0,67.4,75.4,64.2,16.4,0,0,0,0.5,0,,0,0,Stable,0,0.005125948478381326,Low,0,19.0,2.0,0.4318181818181818,0.10526315789473684,27.418874177182616,Moderate,0.0026519832082172
48113015600,Census Tract 156,5569,74089.0,1.5,78.4,79.9,35.9,26.1,0,0,0,0.5,0,,0,0,Stable,0,-0.03632048559585255,Low,0,27.0,0.0,0.5094339622641509,0.0,29.224846383605225,Moderate,0.0035429091587884
48113007914,Census Tract 79.14,3338,70730.0,15.7,8.0,23.7,89.3,26.5,0,0,0,0.5,1,University Crossing PID,0,1,Stable,0,-0.062295448974154205,Adjacent,0,4.0,1.0,0.13333333333333333,0.25,19.431881639884104,Low,0.1524763765920432
48113013625,Census Tract 136.25,3014,62250.0,44.7,21.5,66.2,100.0,16.6,0,0,0,0.5,0,,0,0,Stable,0,0.2371122041769263,Low,0,1.0,1.0,1.0,1.0,25.829970646506574,Moderate,0.1390603580342984
