GEOID,pop_2023,south_of_i30,bates_typology_v21,tif_present,oz_designated,in_pid,vendor_share_5mi,vuln_index,cip_total_usd,cip_per_cap,pid_annual_budget,pid_per_cap,l3_tool_any,institutional_parcel_count,total_sfr_parcels,institutional_pct,top_owner_1,top_owner_2,top_owner_3,l5_vendor_share,L1_cip_norm,L2_pid_norm,L3_tool_norm,L4_sfr_norm,L5_vendor_norm,capital_stack_score
48113016638,1868.0,1,Stable,0,0,0,0.0006199455395022,0.0754098805557662,0.0,0.0,0.0,0.0,0,7,507,1.381,BLOOMFIELD HOMES LP,,,0.0006199455395022,0.0,0.0,0.0,0.10371667698075583,0.003104556851781454,0.021364246766507458
48113013630,2396.0,0,Stable,0,0,0,0.102724161603966,0.31235121538986,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,0.102724161603966,0.0,0.0,0.0,0.0,0.514420992539404,0.1028841985078808
48113012211,4753.0,0,Susceptible,0,0,1,0.0093388297843904,0.3733655051739988,1525831.0,321.02482642541554,0.0,0.0,0,8,357,2.241,SHADOW GLEN APTS LLC,J C LEASING LLP,TRICON SFR 2024-4 BORROWER LLC,0.0093388297843904,0.02179819588586716,0.0,0.0,0.16830490449954658,0.04676689506957417,0.04737399909099758
48113012400,4933.0,0,Stable,0,0,0,0.016271912819559,-0.4090351103630073,1656500.0,335.79971619704037,0.0,0.0,0,18,2025,0.889,GR SFR FUND II A LLC,KHAKI INVESTMENTS LLC,DALLAS MOGUL INVESTMENTS LP,0.016271912819559,0.022801438983979384,0.0,0.0,0.06676620263279648,0.08148631648534202,0.03421079162042358
48113016513,6240.0,1,Historic Loss,0,0,0,0.0006199455395022,-0.4496127697080166,0.0,0.0,0.0,0.0,0,27,1867,1.446,ALTO ASSET COMPANY 3 LLC,BAF ASSETS LLC,H&N FAMILY TRUST,0.0006199455395022,0.0,0.0,0.0,0.1085983453397342,0.003104556851781454,0.022340580438303132
48113016517,4650.0,1,Stable,0,0,0,0.000622162202931,0.1884190996890858,0.0,0.0,0.0,0.0,0,168,1278,13.146,900 TITLE JEFFERSON LLC,RS XII NM DALLAS OWNER 1 LP,STAR BORROWER SFR5 LP,0.000622162202931,0.0,0.0,0.0,0.9872986499558409,0.0031156574359416374,0.19808286147835652
48113016518,6113.0,1,Susceptible,0,0,0,0.000622162202931,0.230054974159257,0.0,0.0,0.0,0.0,0,12,1275,0.941,143 HOLDINGS LLC,HAB PROPERTIES I LLC,RESICAP TEXAS OWNER LLC,0.000622162202931,0.0,0.0,0.0,0.07067153731997917,0.0031156574359416374,0.014757438951184162
48113016519,2358.0,1,Historic Loss,0,0,0,0.0006129535780676,-0.1414417068949949,0.0,0.0,0.0,0.0,0,5,830,0.602,TAH MS BORROWER LLC,CERBERUS SFR HOLDINGS LP,JYLC LP,0.0006129535780676,0.0,0.0,0.0,0.04521175926315352,0.0030695425797268327,0.009656260368576069
48113016607,3667.0,1,Susceptible,0,0,0,0.0003480713319617,0.6731566369223312,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,0.0003480713319617,0.0,0.0,0.0,0.0,0.0017430680111322231,0.0003486136022264446
48113016610,3616.0,1,Susceptible,0,0,0,0.0238658731349458,0.5539176751052484,0.0,0.0,0.0,0.0,0,53,1176,4.507,ALLIED CAPITAL LLC,RH PARTNERS OWNERCO LLC,PR BORROWER 26 LLC,0.0238658731349458,0.0,0.0,0.0,0.33848737375254634,0.1195152723001082,0.0916005292105309
