GEOID,population,median_income,pct_black,pct_hispanic,pct_nonwhite,south_of_i30,vendor_cap_5mi,vendor_cap_15mi,vendor_share_5mi,vendor_share_15mi
48113016638,1868,72976,52.4,24.9,77.3,1,905867.61,499280748.15,0.0006199455395022097,0.34169106981860037
48113013630,2396,60769,31.5,38.6,70.1,0,150101073.13,739683464.53,0.10272416160396604,0.5062146603066142
48113012211,4753,39439,32.8,52.7,85.5,0,13645946.100000001,710833271.5999999,0.009338829784390433,0.4864705517599671
48113012400,4933,77606,2.0,31.5,33.5,0,23776602.680000003,736885690.48,0.016271912819559017,0.5042999571825755
48113016513,6240,149831,37.0,26.3,63.3,1,905867.61,558477491.58,0.0006199455395022097,0.3822033440597395
48113016517,4650,71105,37.8,42.4,80.19999999999999,1,909106.6099999999,557863599.3600001,0.0006221622029310386,0.3817832167262056
48113016518,6113,57987,33.0,50.5,83.5,1,909106.6099999999,561198149.31,0.0006221622029310386,0.3840652713497832
48113016519,2358,100993,11.7,49.4,61.1,1,895650.9199999999,623444210.9199998,0.0006129535780676058,0.4266643971168466
48113016607,3667,27913,78.7,14.5,93.2,1,508603.62,561634630.6700001,0.00034807133196171667,0.38436398461563
48113016610,3616,45917,80.1,9.5,89.6,1,34872936.54,526219946.55999994,0.02386587313494587,0.3601273575362333
48113013609,3486,89375,4.3,41.6,45.9,0,153957322.08999997,745605462.8299999,0.10536324960708167,0.5102674781692869
48113013610,3705,80053,4.9,38.9,43.8,0,154786983.80999997,702800786.41,0.10593104238047571,0.48097338715259363
48113013611,2693,137327,4.1,11.2,15.3,0,148794640.1,716353559.93,0.10183008246848745,0.49024845273486745
48113015306,6443,93884,11.2,46.1,57.3,0,41466040.28,665527394.1,0.02837797314820094,0.45546472225541246
48113015403,3768,54110,41.7,43.0,84.7,0,48352920.01,565757525.1299999,0.033091123637930535,0.38718555589392667
48113015404,4124,52064,13.1,74.0,87.1,0,47229557.91,565729306.9599999,0.032322332133020854,0.387166244320766
48113015500,3661,71441,8.0,67.4,75.4,0,3875091.5000000005,576067180.9,0.0026519832082172886,0.39424113999678995
48113015600,5569,74089,1.5,78.4,79.9,0,5176917.080000001,555700524.1299999,0.0035429091587884515,0.3803028802778736
48113007914,3338,70730,15.7,8.0,23.7,0,222799265.48999998,850867454.7399999,0.1524763765920432,0.5823052700533815
48113013625,3014,62250,44.7,21.5,66.2,0,203195710.19,739683464.53,0.13906035803429842,0.5062146603066142
48113018134,5066,93964,21.2,20.7,41.9,0,5921998.3,79038062.31,0.004052817862672746,0.05409101025257126
48113017605,4040,61042,39.5,55.6,95.1,0,18273106.05,549986170.64,0.012505503523355188,0.376392167588561
48113011701,6259,58506,12.5,76.8,89.3,1,29477980.580000002,553487226.78,0.020173745448414656,0.3787881734878555
48113011702,5639,57607,12.1,80.0,92.1,1,29477980.580000002,545971988.5099999,0.020173745448414656,0.37364499539830787
48113012000,10690,36948,41.2,55.2,96.4,0,18527205.060000002,595646958.93,0.012679400399788852,0.40764088618502364
48113012206,5125,103036,39.4,35.0,74.4,0,70255162.47000001,745289689.75,0.048080286919939166,0.5100513736190416
48113012207,7094,55520,39.3,51.7,91.0,0,21410890.0,690904270.5,0.014652898067823031,0.4728318089654438
48113012208,2587,32721,34.7,61.3,96.0,0,153102050.07999998,754008672.0899999,0.10477793000650495,0.5160183539492926
48113010704,6716,42530,28.9,62.6,91.5,1,31358937.349999998,697294755.27,0.021461009444483554,0.4772052433223895
48113980100,0,-666666666,,,0.0,0,218498453.46999997,698358818.94,0.14953304447750107,0.47793345296216555
48113000605,2217,109707,4.8,15.0,19.8,0,291786445.94,797358916.97,0.1996888989636197,0.5456858137999484
48113016407,6320,70323,11.1,77.0,88.1,1,5157716.570000001,463784968.15999997,0.003529768970973736,0.317398943427248
48113007101,2313,181944,0.0,18.8,18.8,0,232439081.12999997,665122162.36,0.1590735444802312,0.45518739518586665
48113018002,3524,75446,28.3,47.3,75.6,0,13844421.01,674433884.7900001,0.009474659384432762,0.4615600270382863
48113009105,3480,61804,7.6,85.5,93.1,1,15515572.120000001,630598933.1700001,0.010618339393566401,0.4315608500822693
48113012210,4166,46376,40.4,40.6,81.0,0,23949057.76,729166096.9,0.016389935316919856,0.4990169251436101
48113009610,5055,52348,0.0,85.1,85.1,0,84273238.67,742681678.45,0.057673790116937323,0.5082665377836966
48113014121,5365,95758,13.2,24.2,37.4,0,60901473.16,675919828.29,0.04167893433639331,0.4625769571444165
48113004201,4000,73234,7.6,45.8,53.4,1,289746387.59999996,855137744.04,0.19829275116647382,0.5852277134377067
48113017102,6659,60017,20.3,68.5,88.8,1,168652586.21999997,468046370.27,0.11542019760768445,0.32031530471553804
48113011105,5349,43807,48.8,46.7,95.5,1,521323.62,535471558.22999996,0.0003567764751585996,0.36645885159199615
48113005901,5361,50917,58.1,39.3,97.4,1,2458116.3499999996,601557115.62,0.0016822527375274544,0.41168560004528043
48113006001,3824,56585,3.7,78.9,82.60000000000001,1,4181104.4,643517565.8199999,0.0028614082172262047,0.4404019308311825
48113006002,6997,43573,65.2,14.9,80.10000000000001,1,2458116.3499999996,640609641.8299999,0.0016822527375274544,0.4384118447668271
48113006200,5514,44949,42.7,47.4,90.1,1,228322865.51,746867360.3900001,0.15625654397698072,0.5111310787164252
48113006301,6308,69562,8.7,89.0,97.7,1,31961439.299999997,741103207.6599998,0.02187334165762437,0.5071862850903751
48113006302,3947,83827,2.3,73.4,75.7,1,126768574.49,747733893.0799999,0.08675617875787513,0.5117241047503268
48113006501,5972,76477,1.3,92.8,94.1,1,31953619.3,707171240.97,0.021867989910784782,0.48396438029569666
48113006502,3729,74450,0.2,92.9,93.1,1,32121039.389999997,707187200.9699999,0.02198256662914052,0.4839753027866889
48113011300,5173,49643,77.6,18.5,96.1,1,337208.84,548238142.25,0.00023077446851059653,0.37519587533642523
48113002100,3035,94451,23.0,14.9,37.9,0,291476837.59,854372634.03,0.1994770133487061,0.5847040976988374
48113001202,3490,73462,14.5,29.5,44.0,0,203560491.46999997,791602548.65,0.13931000215992279,0.5417463475641308
