GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district,priority_rank
48113017009,Census Tract 170.09,Susceptible,1,5442,5442.0,48302.0,3.7,28.2,0,0,0.5,0.0,0.0,0.0,,1,1,0,0,0.0,0.0,,False,0.0,1.0,0.18375597206909225,0.0022715767559963766,0.0,0.0,0.0011357883779981883,True,False,HIGH_PRESSURE_LOW_READINESS,8,1
48113006402,Census Tract 64.02,Susceptible,1,4830,4830.0,52782.0,0.0,43.7,0,0,0.67,0.0,0.0,0.0,,1,1,0,0,0.0,0.0,,False,0.0,1.0,0.2070393374741201,0.0025594038729052342,0.0,0.0,0.0012797019364526171,True,False,HIGH_PRESSURE_LOW_READINESS,1,2
48113009103,Census Tract 91.03,Susceptible,1,3895,3895.0,50927.0,35.7,35.9,0,0,0.5,0.0,0.0,0.0,,6,4,1,1,0.0,0.0,,False,0.0,6.0,1.5404364569961488,0.019042753334221743,0.0,0.0,0.009521376667110872,True,False,HIGH_PRESSURE_LOW_READINESS,5,3
48113017007,Census Tract 170.07,Susceptible,1,5642,5642.0,56422.0,7.7,26.9,0,0,0.5,0.0,0.0,0.0,,10,10,0,0,0.0,0.0,,False,0.0,10.0,1.772421127259837,0.021910529433059697,0.0,0.0,0.010955264716529849,True,False,HIGH_PRESSURE_LOW_READINESS,8,4
48113009202,Census Tract 92.02,Susceptible,1,5453,5453.0,48497.0,19.9,40.9,0,0,0.5,0.0,0.0,0.0,,10,9,1,0,0.0,0.0,,False,0.0,10.0,1.8338529249954152,0.022669944445502074,0.0,0.0,0.011334972222751037,True,False,HIGH_PRESSURE_LOW_READINESS,5,5
48113016001,Census Tract 160.01,Susceptible,1,3525,3525.0,49646.0,2.3,41.9,0,0,0.5,0.0,0.0,0.0,,7,7,0,0,0.0,0.0,,False,0.0,7.0,1.9858156028368796,0.02454849501926978,0.0,0.0,0.01227424750963489,True,False,HIGH_PRESSURE_LOW_READINESS,Outside City of Dallas,6
48113016302,Census Tract 163.02,Susceptible,1,1757,1757.0,46503.0,7.5,48.6,0,0,0.5,0.0,0.0,0.0,,4,4,0,0,0.0,0.0,,False,0.0,4.0,2.2766078542970973,0.02814324577377867,0.0,0.0,0.014071622886889335,True,False,HIGH_PRESSURE_LOW_READINESS,Outside City of Dallas,7
48113011802,Census Tract 118.02,Susceptible,1,4068,4068.0,44976.0,5.4,15.5,0,0,0.5,0.0,0.0,0.0,,11,11,0,0,0.0,0.0,,False,0.0,11.0,2.7040314650934123,0.03342702255837146,0.0,0.0,0.01671351127918573,True,False,HIGH_PRESSURE_LOW_READINESS,5,8
48113005901,Census Tract 59.01,Susceptible,1,5361,5361.0,50917.0,58.1,32.2,0,0,0.5,0.0,0.0,0.0,,15,15,0,0,0.0,0.0,,False,0.0,15.0,2.7979854504756574,0.03458847427569189,0.0,0.0,0.017294237137845943,True,False,HIGH_PRESSURE_LOW_READINESS,4,9
48113016002,Census Tract 160.02,Susceptible,1,3739,3739.0,37500.0,1.0,71.1,0,0,0.5,0.0,0.0,0.0,,11,11,0,0,0.0,0.0,,False,0.0,11.0,2.941963091735758,0.03636831446040521,0.0,0.0,0.018184157230202606,True,False,HIGH_PRESSURE_LOW_READINESS,Outside City of Dallas,10
48113011103,Census Tract 111.03,Susceptible,1,3317,3317.0,39186.0,36.6,36.3,0,0,0.5,0.0,0.0,0.0,,11,11,0,0,0.0,0.0,,False,0.0,11.0,3.316249623153452,0.04099521488316403,0.0,0.0,0.020497607441582015,True,False,HIGH_PRESSURE_LOW_READINESS,3,11
48113011104,Census Tract 111.04,Susceptible,1,5353,5353.0,42344.0,52.0,31.6,0,0,0.5,0.0,0.0,0.0,,23,23,0,0,0.0,0.0,,False,0.0,23.0,4.296656080702411,0.0531149217711643,0.0,0.0,0.02655746088558215,True,True,HIGH_PRESSURE_HIGH_READINESS,8,12
48113010809,Census Tract 108.09,Susceptible,1,5323,5323.0,41053.0,24.2,47.5,0,0,0.5,0.0,0.0,0.0,,23,22,1,0,0.0,0.0,,False,0.0,23.0,4.320871688897238,0.05341427319951953,0.0,0.0,0.026707136599759766,True,True,HIGH_PRESSURE_HIGH_READINESS,3,13
48113017101,Census Tract 171.01,Susceptible,1,6381,6381.0,50473.0,9.8,27.8,0,0,0.5,0.0,0.0,0.0,,28,26,2,0,0.0,0.0,,False,0.0,28.0,4.388026955022724,0.054244441274361996,0.0,0.0,0.027122220637180998,True,True,HIGH_PRESSURE_HIGH_READINESS,8,14
48113010807,Census Tract 108.07,Susceptible,1,4975,4975.0,53683.0,27.2,54.0,0,0,0.5,0.0,0.0,0.0,,24,24,0,0,0.0,0.0,,False,0.0,24.0,4.824120603015076,0.059635396371291415,0.0,0.0,0.029817698185645707,True,True,HIGH_PRESSURE_HIGH_READINESS,3,15
48113005902,Census Tract 59.02,Susceptible,1,4992,4992.0,37226.0,71.7,65.4,0,0,1.0,0.0,0.0,0.0,,25,25,0,0,0.0,0.0,,False,0.0,25.0,5.008012820512821,0.06190865738247337,0.0,0.0,0.030954328691236686,True,True,HIGH_PRESSURE_HIGH_READINESS,4,16
