GEOID,NAMELSAD,bates_typology_v21,south_of_i30,population,pop_2023,median_income,pct_black,pct_renter,tif_present,oz_designated,redline_legacy,lihtc_projects,lihtc_units_total,lihtc_units_li,lihtc_latest_pis,hud_all_units,hud_hcv_units,hud_pubhsg_units,hud_pbs8_units,hca_count,org_count,org_names,nez_present,nez_overlap_frac,affordable_units_count,affordable_units_per_1k,norm_affordable,norm_orgs,norm_nez,readiness_score,high_pressure,high_readiness,risk_readiness_cell,council_district
48113016638,Census Tract 166.38,Stable,1,1868,1868.0,72976.0,52.4,73.3,0,0,0.5,0.0,0.0,0.0,,6,6,0,0,0.0,0.0,,False,0.0,6.0,3.2119914346895073,0.03970638342440776,0.0,0.0,0.01985319171220388,False,False,LOW_PRESSURE_LOW_READINESS,8
48113013630,Census Tract 136.30,Stable,0,2396,2396.0,60769.0,31.5,90.5,0,0,0.5,0.0,0.0,0.0,,2,2,0,0,0.0,0.0,,False,0.0,2.0,0.8347245409015025,0.010318798586087046,0.0,0.0,0.005159399293043523,False,False,LOW_PRESSURE_LOW_READINESS,11
48113012211,Census Tract 122.11,Susceptible,0,4753,4753.0,39439.0,32.8,80.3,0,0,0.5,0.0,0.0,0.0,,80,80,0,0,0.0,0.0,,False,0.0,80.0,16.831474857984432,0.20806935756166264,0.0,0.0,0.10403467878083132,True,True,HIGH_PRESSURE_HIGH_READINESS,7
48113012400,Census Tract 124,Stable,0,4933,4933.0,77606.0,2.0,20.3,0,0,0.5,0.0,0.0,0.0,,3,0,3,0,0.0,0.0,,True,0.4537498464890146,3.0,0.6081491992702209,0.007517892178876311,0.0,0.4537498464890146,0.09450891538724109,False,True,LOW_PRESSURE_HIGH_READINESS,2
48113016513,Census Tract 165.13,Historic Loss,1,6240,6240.0,149831.0,37.0,8.3,0,0,0.5,0.0,0.0,0.0,,12,12,0,0,0.0,0.0,,False,0.0,12.0,1.9230769230769231,0.023772924434869773,0.0,0.0,0.011886462217434886,False,False,LOW_PRESSURE_LOW_READINESS,3
48113016517,Census Tract 165.17,Stable,1,4650,4650.0,71105.0,37.8,46.3,0,0,0.5,0.0,0.0,0.0,,60,60,0,0,0.0,0.0,,False,0.0,60.0,12.903225806451612,0.15950865427267458,0.0,0.0,0.07975432713633729,False,True,LOW_PRESSURE_HIGH_READINESS,3
48113016518,Census Tract 165.18,Susceptible,1,6113,6113.0,57987.0,33.0,56.0,0,0,0.5,1.0,224.0,213.0,2007.0,159,136,0,23,0.0,0.0,,False,0.0,213.0,34.84377556028137,0.43073599057846823,0.0,0.0,0.21536799528923412,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas
48113016519,Census Tract 165.19,Historic Loss,1,2358,2358.0,100993.0,11.7,17.3,0,0,0.5,0.0,0.0,0.0,,4,4,0,0,0.0,0.0,,False,0.0,4.0,1.6963528413910094,0.02097017931489785,0.0,0.0,0.010485089657448925,False,False,LOW_PRESSURE_LOW_READINESS,3
48113016607,Census Tract 166.07,Susceptible,1,3667,3667.0,27913.0,78.7,100.0,0,0,0.5,1.0,192.0,192.0,1994.0,274,274,0,0,0.0,0.0,,False,0.0,274.0,74.7204799563676,0.9236886483447627,0.0,0.0,0.46184432417238136,True,True,HIGH_PRESSURE_HIGH_READINESS,3
48113016610,Census Tract 166.10,Susceptible,1,3616,3616.0,45917.0,80.1,52.9,0,0,0.5,0.0,0.0,0.0,,233,129,0,104,0.0,0.0,,False,0.0,233.0,64.4358407079646,0.796550753464829,0.0,0.0,0.3982753767324145,True,True,HIGH_PRESSURE_HIGH_READINESS,Outside City of Dallas
