GEOID,NAMELSAD,population,median_income,pct_black,pct_hispanic,pct_nonwhite,pct_renter,rent_burden_pct,south_of_i30,tif_present,oz_designated,redline_legacy,in_pid,pid_name,pid_north,pid_south,bates_typology,bates_vulnerable,bates_vuln_zscore,market_cat,demo_change,hmda_denials_total,hmda_denials_black,hmda_denial_rate,hmda_black_denial_share,dpi,risk_tier,vendor_share_5mi,income_2023,home_val_2023,renter_share_2023,pct_black_2023,pct_hispanic_2023,pct_nonwhite_2023,total_units_2023,pop_2023,z_home_val,z_income,invest_tool_pressure,z_tools,z_vendor,z_denial,gent_pressure,pct_renter_2023,vuln_index,bates_vulnerable_v2,demo_pressure,bates_typology_v2,income_2013,home_val_2013,renter_share_2013,pct_black_2013,pct_hisp_2013,renter_share_2013,income_chg_pct,income_real_chg_pct,home_val_chg_pct,renter_share_chg,black_share_chg,hisp_share_chg,demo_change_real,real_gent_signal,bates_typology_v21
48113016638,Census Tract 166.38,1868,72976.0,52.4,24.9,77.3,73.3,31.4,1,0,0,0.5,0,,0,0,Susceptible,1,0.3536206613425909,Adjacent,0,8.0,4.0,0.1481481481481481,0.5,29.326358065724424,Moderate,0.0006199455395022,72976.0,331900.0,0.7326968973747017,0.5240899357601713,0.2494646680942184,0.8538543897216274,838.0,1868.0,-0.0663638395477948,-0.2725320312554656,0.0,-0.3569657034940823,0.0,-1.2354020244264778,-0.1806017775291152,0.7326968973747017,0.0754098805557662,0,0,Stable,,,,,,,,,,,,,0,0,Stable
48113013630,Census Tract 136.30,2396,60769.0,31.5,38.6,70.1,90.5,14.1,0,0,0,0.5,0,,0,0,Stable,0,0.1470988089606617,Adjacent,0,8.0,2.0,0.3333333333333333,0.25,26.24998619117731,Moderate,0.102724161603966,60769.0,232400.0,0.9052980132450332,0.3146911519198664,0.3864774624373956,0.8117696160267112,1510.0,2396.0,-0.4313284677063512,-0.545246547262352,0.0,-0.3569657034940823,0.0,0.1168465356794024,-0.3765180263863315,0.9052980132450332,0.31235121538986,0,0,Stable,,,,,,,,,,,,,0,0,Stable
48113012211,Census Tract 122.11,4753,39439.0,32.8,52.7,85.5,80.3,37.7,0,0,0,0.5,1,Far East Dallas PID,1,0,Stable,1,1.1458200507892145,Low,0,4.0,0.0,0.1904761904761904,0.0,31.423210072221806,Moderate,0.0093388297843904,39439.0,309300.0,0.8027069234773555,0.322112350094677,0.5268251630549127,0.8996423311592678,1921.0,4753.0,-0.1492603279536579,-1.021776458495815,0.0,-0.3569657034940823,0.0,-0.9263166392594198,-0.3969266552812547,0.8027069234773555,0.3733655051739988,1,0,Susceptible,28677.0,108000.0,0.8356411800120409,0.42290748898678415,0.4319499188499884,0.8356411800120409,37.52833281026607,1.5283328102660718,186.38888888888889,-0.0329342565346854,-0.10079513889210712,0.09487524420492427,1,0,Susceptible
48113012400,Census Tract 124,4933,77606.0,2.0,31.5,33.5,20.3,11.4,0,0,0,0.5,0,,0,0,Stable,0,-0.8274816535108211,Adjacent,0,44.0,1.0,0.2682926829268293,0.0227272727272727,19.56130946894824,Low,0.016271912819559,77606.0,306300.0,0.202784222737819,0.0196634907764038,0.3154267180214879,0.4238799918913439,2155.0,4933.0,-0.1602642865916043,-0.1690939867636262,0.0,-0.3569657034940823,0.0,-0.3580895439675405,-0.1876074228714886,0.202784222737819,-0.4090351103630073,0,0,Stable,66023.0,136500.0,0.18414693088448525,0.06946656050955415,0.3775875796178344,0.18414693088448525,17.543886221468277,-18.456113778531723,124.3956043956044,0.018637291853333765,-0.04980306973315034,-0.062160861596346484,1,0,Stable
48113016513,Census Tract 165.13,6240,149831.0,37.0,26.3,63.3,8.3,27.4,1,0,0,0.5,0,,0,0,Stable,0,-0.3990895972045742,Sustained,0,55.0,25.0,0.3767123287671233,0.4545454545454545,26.455551390727948,Moderate,0.0006199455395022,149831.0,342900.0,0.0833333333333333,0.3443910256410256,0.2631410256410256,0.6304487179487179,1968.0,6240.0,-0.026015991208658,1.4444724848180377,0.0,-0.3569657034940823,0.0,0.4336061298959855,0.2627710984079585,0.0833333333333333,-0.4496127697080166,0,0,Historic Loss,84550.0,166300.0,0.07828418230563003,0.348052448900887,0.16602391052834556,0.07828418230563003,77.20993494973388,41.20993494973388,106.19362597714972,0.0050491510277033,-0.0036614232598613516,0.09711711511268009,0,0,Historic Loss
48113016517,Census Tract 165.17,4650,71105.0,37.8,42.4,80.2,46.3,38.1,1,0,0,0.5,0,,0,0,Stable,0,0.2587194317580579,Low,0,15.0,2.0,0.3125,0.1333333333333333,30.53737770386012,Moderate,0.000622162202931,71105.0,205000.0,0.4631718646317186,0.3780645161290322,0.4243010752688172,0.8144086021505377,1507.0,4650.0,-0.5318312899329286,-0.3143317248287338,0.0,-0.3569657034940823,0.0,-0.0352814273325089,-0.3539653085572291,0.4631718646317186,0.1884190996890858,0,0,Stable,42296.0,95900.0,0.47666459240821407,0.32398540811673504,0.3702690378476972,0.47666459240821407,68.11282390769813,32.11282390769813,113.7643378519291,-0.013492727776495406,0.054079108012297206,0.054032037421120005,0,1,Stable
48113016518,Census Tract 165.18,6113,57987.0,33.0,50.5,83.5,56.0,36.4,1,0,0,0.5,0,,0,0,Stable,0,0.3429441494228502,Adjacent,0,14.0,2.0,0.21875,0.1428571428571428,30.93651539122728,Moderate,0.000622162202931,57987.0,211400.0,0.5595800524934383,0.3299525601177818,0.5051529527237035,0.8634058563716669,1905.0,6113.0,-0.5083561781719762,-0.607398737278831,0.0,-0.3569657034940823,0.0,-0.7198572608861108,-0.41901577255342,0.5595800524934383,0.230054974159257,1,0,Susceptible,60815.0,101500.0,0.3502923976608187,0.24587087087087087,0.41572822822822825,0.3502923976608187,-4.65016854394475,-40.65016854394475,108.27586206896551,0.20928765483261963,0.08408168924691092,0.08942472449547528,1,0,Susceptible
48113016519,Census Tract 165.19,2358,100993.0,11.7,49.4,61.1,17.3,53.5,1,0,0,0.5,0,,0,0,Stable,0,0.0997554723899053,Accelerating,0,15.0,4.0,0.3260869565217391,0.2666666666666666,28.811563997500155,Moderate,0.0006129535780676,100993.0,286800.0,0.1732605729877216,0.1174724342663273,0.4936386768447837,0.6959287531806615,733.0,2358.0,-0.2317900177382561,0.3533910124870538,0.0,-0.3569657034940823,0.0,0.0639324615883025,-0.0820201789601467,0.1732605729877216,-0.1414417068949949,0,0,Historic Loss,70238.0,142200.0,0.06657963446475196,0.1671111111111111,0.34355555555555556,0.06657963446475196,43.78683903300208,7.786839033002082,101.68776371308017,0.10668093852296973,-0.04963867684478371,0.15008312128922818,1,0,Historic Loss
48113016607,Census Tract 166.07,3667,27913.0,78.7,14.5,93.2,100.0,45.5,1,0,0,0.5,0,,0,0,Stable,1,1.5155169670614832,Low,0,,,,,33.589831049855135,Moderate,0.0003480713319617,27913.0,,1.0,0.7867466593946005,0.1448050177256613,0.9781838014725934,1794.0,3667.0,-0.3022153530211132,-1.2792768690385672,0.0,-0.3569657034940823,0.0,-0.1462937246655253,-0.514836016690552,1.0,0.6731566369223312,1,0,Susceptible,27144.0,,1.0,0.7934782608695652,0.09015345268542199,1.0,2.833038608900678,-33.16696139109932,,0.0,-0.006731601474964655,0.054651565040239325,0,0,Susceptible
48113016610,Census Tract 166.10,3616,45917.0,80.1,9.5,89.6,52.9,26.7,1,0,0,0.5,0,,0,0,Stable,0,0.7593695564313383,Adjacent,0,26.0,15.0,0.3768115942028985,0.5769230769230769,30.98564207871941,Moderate,0.0238658731349458,45917.0,244500.0,0.5288350634371396,0.7876106194690266,0.0945796460176991,0.933075221238938,1734.0,3616.0,-0.3869458345333006,-0.8770525595286154,0.0,-0.3569657034940823,0.0,0.4343309802260002,-0.4439356078423296,0.5288350634371396,0.5539176751052484,1,0,Susceptible,36725.0,118500.0,0.4518633540372671,0.7911060433295325,0.06271379703534778,0.4518633540372671,25.02927161334241,-10.97072838665759,106.32911392405062,0.07697170939987252,-0.0034954238605059418,0.03186584898235133,1,0,Susceptible
