VENDOR,ZIP5,total_paid,n_transactions,vendor_lat,vendor_lon,vendor_city,vendor_state
Estrada Concrete Company LLC,75141,160453200.6,471,32.6396,-96.707,Hutchins,TX
"JE Dunn-Russell, a joint venture",75254,94630687.8,22,32.9503,-96.819,Dallas,TX
"TEXAS MATERIALS GROUP, INC.",75062,58892770.92,741,32.8479,-96.974,Irving,TX
Kay Bailey Hutchison Convention Center,75202,53138383.01,65,32.7781,-96.8054,Dallas,TX
"Flatiron Constructors, Inc.",75038,50106215.160000004,50,32.8653,-96.9905,Irving,TX
"Perkins + Will, Inc.",75201,46477520.769999996,11,32.7904,-96.8044,Dallas,TX
TEXAS DEPARTMENT OF TRANSPORTATION,78714,45743472.550000004,20,30.2672,-97.7431,Austin,TX
REBCON LLC,76011,44363900.3,63,32.7582,-97.1003,Arlington,TX
CARAHSOFT TECHNOLOGY CORP,20190,35200036.96,197,38.9615,-77.3418,Reston,VA
BAR CONSTRUCTORS INC ^,75146,34543152.7,54,32.5914,-96.7728,Lancaster,TX
Trinity Alliance Ventures LLC,75240,34272683.17,11,32.9374,-96.7872,Dallas,TX
"ARCHER WESTERN CONSTRUCTION, LLC",75038,32958294.4,88,32.8653,-96.9905,Irving,TX
"AT&T ENTERPRISES, LLC",60197,32645320.56,547,41.9125,-88.1348,Carol Stream,IL
Dallas Tourism Public Improvement District Corporation,75201,30587750.68,18,32.7904,-96.8044,Dallas,TX
Douglas Dailey Construction LLC,75125,29978277.25,132,32.5223,-96.6643,Ferris,TX
DALLAS COUNTY,75202,29632006.38,162,32.7781,-96.8054,Dallas,TX
"Siddons Martin Emergency Group, LLC",77032,26601809.32,638,29.9368,-95.3299,Houston,TX
OSCAR RENDA CONTRACTING INC,76262,26543186.61,37,33.0211,-97.2127,Roanoke,TX
THE DALLAS CONVENTION & VISITORS BUREAU,75201,26266997.43,32,32.7904,-96.8044,Dallas,TX
SABINE RIVER AUTHORITY OF TEXAS,77632,26155101.29,36,30.1775,-93.8409,Orange,TX
OMEGA CONTRACTING LLC,75212,25376409.41,136,32.7829,-96.8714,Dallas,TX
"Satterfield & Pontikes Construction, Inc",75234,24518222.33,32,32.9245,-96.8938,Dallas,TX
Universal Protection Service LP,75204,24351490.83,2118,32.8038,-96.7851,Dallas,TX
"Downtown Dallas, Inc.",75202,23934214.02,17,32.7781,-96.8054,Dallas,TX
"SYB CONSTRUCTION CO., INC.",76084,23729431.59,117,32.433,-97.1087,Venus,TX
"SHI GOVERNMENT SOLUTIONS, INC",78746,23670158.71,127,30.2971,-97.8181,Austin,TX
SAM PACK'S FIVE STAR FORD,75234,23200508.52,1580,32.9245,-96.8938,Dallas,TX
"MUNIZ CONSTRUCTION, INC. ^",75253,22479352.36,57,32.6833,-96.5964,Dallas,TX
DALLAS ZOO MANAGEMENT INC,75203,22341228.84,7,32.746,-96.807,Dallas,TX
STANDARD INSURANCE COMPANY,97208,21627473.14,112,45.5235,-122.6762,Portland,OR
Axon Enterprise Inc.,85255,20487991.68,22,33.6968,-111.8892,Scottsdale,AZ
"RUSHCO ENERGY SPECIALISTS, INC",76053,20341520.5,783,32.8211,-97.1756,Hurst,TX
Good Earth Corporation,75227,20074981.35,1289,32.7672,-96.6836,Dallas,TX
"RoeschCo Construction, LLC",75033,19783467.91,33,33.2559,-96.8853,Frisco,TX
"GTS Technology Solutions, Inc",75266,19431158.73,838,32.7673,-96.7776,Dallas,TX
"A & Associates, Inc.",75247,19291214.12,539,32.8152,-96.8703,Dallas,TX
Ragle INC,76180,18542352.75,65,32.84,-97.225,North Richland Hills,TX
TRINITY RIVER AUTHORITY OF TX,76004,18513257.54,21,32.7357,-97.1081,Arlington,TX
"Crescent Constructors, Inc.",75074,17735882.54,18,33.0277,-96.6777,Plano,TX
Talley Riggins Construction Group LLC,75081,17234844.34,32,32.9462,-96.7058,Richardson,TX
"Marsh USA, LLC",75201,16798895.91,17,32.7904,-96.8044,Dallas,TX
Silsbee Ford Inc,77656,16620870.75,160,30.3244,-94.1907,Silsbee,TX
VIKING CONSTRUCTION LLC,78628,16282658.33,15,30.6411,-97.7511,Georgetown,TX
"McGriff Insurance Services, LLC",28202,16216544.34,23,35.229,-80.8419,Charlotte,NC
"Flatiron Dragados Constructors, Inc.",75235,15832846.24,7,32.8252,-96.8388,Dallas,TX
"M Arthur Gensler, Jr. & Associates,Inc.",75284,15343390.94,22,32.7673,-96.7776,Dallas,TX
"SMITH TEMPORARIES, INC",75201,14805607.34,11028,32.7904,-96.8044,Dallas,TX
EAGLE CONTRACTING LLC,76244,14517188.58,21,32.931,-97.2843,Keller,TX
"All City Management Services, Inc.",90084,14364189.66,63,34.0522,-118.2437,Los Angeles,CA
SOUTHLAND CONTRACTING INC.,76051,14250937.85,16,32.9328,-97.0808,Grapevine,TX
