ProjectNum,Name,Category,District,layer,BondAmount,AmountPaid,proj_lat,proj_lon,lat_south,nearest_vendor,nearest_vendor_dist_km,nearest_vendor_total_paid,nearest_vendor_south,weighted_avg_dist_km
1007128,Central Signal Computer/ Software Upgrade,Traffic Signal Upgrades - CBD,"14,02",Active Bond Program,1092726.0,1750360.37,32.7760801516594,-96.7967564269771,0,Kay Bailey Hutchison Convention Center,0.84,53138383.01,0,211.46
1007627,Dallas Centr. Performing Arts-Phase I-Utility Adj.,Cultural Arts Facilities,,Active Bond Program,9003982.0,2189090.59,32.789989081045,-96.7980647577999,0,"Perkins + Will, Inc.",0.59,46477520.769999996,0,211.39
1007808,Central Library - 7th Floor Renovation,Library Facilities,TBD,Active Bond Program,0.0,4664744.7,32.7783422485667,-96.7971430974628,0,Kay Bailey Hutchison Convention Center,0.77,53138383.01,0,211.43
1007891,Ash Creek - S Fork - Bridges @ Lakeland,Flood Management,TBD,Active Bond Program,4309482.0,3171890.09,32.8129154174674,-96.7024511360794,0,Good Earth Corporation,5.38,20074981.35,0,215.28
1007931,West Dallas - Eagle Ford Sump Basin,Storm Drainage,,Active Bond Program,2398945.0,334071.86,32.7804929309491,-96.9237396213664,0,OMEGA CONTRACTING LLC,4.9,25376409.41,0,213.38
1007961,Latino Cultural Center - Phase II - Priority 1 - Black Box Theater,Cultural Arts Facilities,14,Active Bond Program,2807860.0,3394786.24,32.7880480794981,-96.78952876983,0,"Perkins + Will, Inc.",1.41,46477520.769999996,0,211.6
1007962,Latino Cultural Center - Phase II Design,Cultural Arts Facilities,TBD,Active Bond Program,957225.0,524092.08,32.7875927368148,-96.7897592700621,0,"Perkins + Will, Inc.",1.4,46477520.769999996,0,211.59
1007964,Dallas Museum of Natural History @ Fair Park - Replace HVAC,Major Maintenance,TBD,Active Bond Program,450000.0,313356.99,32.7782027160434,-96.7631555751104,0,"GTS Technology Solutions, Inc",1.81,19431158.73,0,212.42
1007991,Cadillac Heights Land Acquisition,City Facilities,TBD,Active Bond Program,22551771.0,2699035.4,32.7412275090948,-96.785561174381,1,DALLAS ZOO MANAGEMENT INC,2.07,22341228.84,0,212.47
1007995,"Fire Station #06 Replacement - Harwood, 2808 S",Fire Department Facilities,TBD,Active Bond Program,7646537.0,6371600.17,32.7651877110918,-96.7766498850176,0,"GTS Technology Solutions, Inc",0.25,19431158.73,0,212.09
1011000,Sharrock - Niblo Park (formerly Grady Niblo Park),Historic Restoration,03,Active Bond Program,400000.0,606922.68,32.6838290706163,-96.9396931248626,1,OMEGA CONTRACTING LLC,12.73,25376409.41,0,216.5
1011490,Abrams Road Bridge - hike & bike trail,Erosion Control,TBD,Active Bond Program,48000.0,95021.77,32.8724693510579,-96.7412930164351,0,Trinity Alliance Ventures LLC,8.4,34272683.17,0,215.39
1011491,Anderson Bonner Park Site 1 - hike & bike trail (WRC 164),Erosion Control,TBD,Active Bond Program,231400.0,236056.69,32.9168772688446,-96.7769493727987,0,Trinity Alliance Ventures LLC,2.47,34272683.17,0,216.28
1011492,Audelia 11601 (Audelia Branch - E. Bank downstream of Audelia Bridge),Erosion Control,TBD,Active Bond Program,617700.0,68651.01,32.9072209180093,-96.718237987988,0,Talley Riggins Construction Group LLC,4.49,17234844.34,0,217.69
1011493,Bainbridge 2733,Erosion Control,TBD,Active Bond Program,91400.0,79365.64,32.6639187787888,-96.8647096623025,1,DALLAS ZOO MANAGEMENT INC,10.6,22341228.84,0,215.72
1011494,Beechmont Dr. 2507,Erosion Control,TBD,Active Bond Program,54800.0,126143.47,32.8234738335572,-96.6861723331412,0,Good Earth Corporation,6.26,20074981.35,0,216.26
1011496,Blackstone 2729,Erosion Control,TBD,Active Bond Program,91400.0,215967.38,32.6647740347914,-96.8638428059223,1,DALLAS ZOO MANAGEMENT INC,10.48,22341228.84,0,215.66
1011497,Blackstone 2745,Erosion Control,TBD,Active Bond Program,220500.0,261630.1,32.6644994591554,-96.8644410702192,1,DALLAS ZOO MANAGEMENT INC,10.54,22341228.84,0,215.68
1011498,Blue Ridge 3721,Erosion Control,TBD,Active Bond Program,123500.0,126141.1,32.7004911267348,-96.882547046724,1,DALLAS ZOO MANAGEMENT INC,8.69,22341228.84,0,214.41
1011500,Cavender 445,Erosion Control,TBD,Active Bond Program,73100.0,100283.0,32.7490303262485,-96.8651561877897,0,OMEGA CONTRACTING LLC,3.81,25376409.41,0,212.47
1011501,Caracas 5810 and 5816 (Formerly Caracas 5410 and 5416),Erosion Control,TBD,Active Bond Program,171400.0,318702.11,32.6762726276419,-96.8450947425538,1,DALLAS ZOO MANAGEMENT INC,8.53,22341228.84,0,214.9
1011502,Cedar Springs 5910,Erosion Control,TBD,Active Bond Program,185100.0,241065.95,32.8288537775918,-96.8318132364065,0,"Flatiron Dragados Constructors, Inc.",0.77,15832846.24,0,212.07
1011504,Clarendon 3435,Erosion Control,TBD,Active Bond Program,111200.0,100978.94,32.7351803939414,-96.8775083362945,1,OMEGA CONTRACTING LLC,5.34,25376409.41,0,213.09
1011506,Country Brook Pond between Park Grove Ln and Quail Hollow Rd,Erosion Control,12,Active Bond Program,40000.0,38425.38,33.0000054653696,-96.8353063398089,0,"JE Dunn-Russell, a joint venture",5.73,94630687.8,0,220.97
1011507,Colorado (W) 705,Erosion Control,TBD,Active Bond Program,77700.0,162714.82,32.7590935769364,-96.8340452189775,0,DALLAS ZOO MANAGEMENT INC,2.92,22341228.84,0,211.79
1011508,"Deep Hill Circle 2671, 2675, 2679, 2683",Erosion Control,TBD,Active Bond Program,553500.0,772093.15,32.6939841146954,-96.8625393636585,1,DALLAS ZOO MANAGEMENT INC,7.77,22341228.84,0,214.33
1011510,Fair Oaks Crossing 8201,Erosion Control,TBD,Active Bond Program,114300.0,529213.0,32.8925067358972,-96.7306922195203,0,Talley Riggins Construction Group LLC,6.41,17234844.34,0,216.58
1011511,Fair Oaks Crossing 8849,Erosion Control,TBD,Active Bond Program,285600.0,280784.18,32.8992064271197,-96.7284440675207,0,Talley Riggins Construction Group LLC,5.64,17234844.34,0,216.95
1011512,Five Mile Pkwy W. 922,Erosion Control,TBD,Active Bond Program,222400.0,358596.5,32.6949810785976,-96.837658589212,1,DALLAS ZOO MANAGEMENT INC,6.36,22341228.84,0,214.01
1011514,Glendale Park Site 1 - Pavilion,Erosion Control,TBD,Active Bond Program,68600.0,132587.95,32.6821475497782,-96.8006155621098,1,DALLAS ZOO MANAGEMENT INC,7.13,22341228.84,0,214.48
1011518,Greenville Avenue 9320/Vista View 8915,Erosion Control,TBD,Active Bond Program,197700.0,378882.79,32.9031562320119,-96.7486315699682,0,Trinity Alliance Ventures LLC,5.24,34272683.17,0,216.43
1011519,Hampton Road (S) 3817,Erosion Control,TBD,Active Bond Program,228500.0,338564.6,32.6963546278035,-96.857186482842,1,DALLAS ZOO MANAGEMENT INC,7.25,22341228.84,0,214.16
1011520,Harry Moss Park Site 1 - S. of pedestrian bridge,Erosion Control,TBD,Active Bond Program,68600.0,172195.48,32.8925778235593,-96.7526695941004,0,Trinity Alliance Ventures LLC,5.94,34272683.17,0,215.83
1011523,Kiesthill Drive 3431,Erosion Control,TBD,Active Bond Program,222400.0,246241.55,32.7023071948631,-96.8800666946294,1,DALLAS ZOO MANAGEMENT INC,8.39,22341228.84,0,214.29
1011525,Kiltartan 1511,Erosion Control,TBD,Active Bond Program,177900.0,1159829.9,32.8243094931637,-96.6877327490179,0,Good Earth Corporation,6.36,20074981.35,0,216.2
1011526,Kiowa Parkway Hike and Bike Trail,Erosion Control,TBD,Active Bond Program,82300.0,140086.46,32.9564673382544,-96.7972790290279,0,"JE Dunn-Russell, a joint venture",2.14,94630687.8,0,218.08
1011527,Lanett Circle N. 10741,Erosion Control,TBD,Active Bond Program,142800.0,334380.87,32.8688783776244,-96.6991319070674,0,Talley Riggins Construction Group LLC,8.62,17234844.34,0,216.94
1011528,Langdale Circle 8668 and 8656,Erosion Control,TBD,Active Bond Program,285600.0,934496.16,32.8672594517888,-96.6991709125167,0,Talley Riggins Construction Group LLC,8.8,17234844.34,0,216.88
1011529,Lyre Lane 6909 and Chantilly Court 6916,Erosion Control,TBD,Active Bond Program,68600.0,10850.26,32.8364000890116,-96.7405028339959,0,Universal Protection Service LP,5.52,24351490.83,0,214.2
1011530,Martin Weiss Park Site 1 - Pavilion,Erosion Control,TBD,Active Bond Program,68600.0,135845.78,32.7333235489185,-96.8776716381364,1,OMEGA CONTRACTING LLC,5.54,25376409.41,0,213.15
1011532,"Mercedes 6607, 6615, 6621",Erosion Control,TBD,Active Bond Program,114300.0,213621.55,32.8288059194825,-96.7462517636683,0,Universal Protection Service LP,4.57,24351490.83,0,213.78
1011533,"Rocky Branch @ Middle Downs Sites 1, 2, 3, 4",Erosion Control,TBD,Active Bond Program,666300.0,598026.44,32.8991019755641,-96.7335519469235,0,Talley Riggins Construction Group LLC,5.84,17234844.34,0,216.76
1011535,Rosemont Rd. 7322,Erosion Control,TBD,Active Bond Program,114300.0,277773.0,32.7257669843737,-96.6957778019088,1,Good Earth Corporation,4.75,20074981.35,0,215.62
1011536,Royal Lane 7832 and 7920,Erosion Control,TBD,Active Bond Program,493600.0,644747.38,32.8975450268467,-96.7708352831208,0,Trinity Alliance Ventures LLC,4.69,34272683.17,0,215.53
1011537,Royal Lane 9750 (Jackson Branch - E. Bank downstream of Royal Bridge),Erosion Control,TBD,Active Bond Program,259400.0,305061.75,32.8938198678531,-96.7307080986262,0,Talley Riggins Construction Group LLC,6.27,17234844.34,0,216.63
1011538,Skillman 7920 (Jackson Branch - E. Bank downstream of Skillman Br),Erosion Control,TBD,Active Bond Program,518900.0,207878.93,32.8885734049834,-96.7318751278206,0,Talley Riggins Construction Group LLC,6.85,17234844.34,0,216.37
1011540,Skillman 8109,Erosion Control,TBD,Active Bond Program,163400.0,501243.06,32.8910435502455,-96.7307050958364,0,Talley Riggins Construction Group LLC,6.56,17234844.34,0,216.51
1011541,Spring Grove 13316,Erosion Control,11,Active Bond Program,74000.0,188012.31,32.9293270317004,-96.778271615693,0,Trinity Alliance Ventures LLC,1.22,34272683.17,0,216.87
1011542,Spring Valley 8444,Erosion Control,TBD,Active Bond Program,297100.0,426402.35,32.9392848265096,-96.7566217680253,0,Trinity Alliance Ventures LLC,2.86,34272683.17,0,218.02
