GEOID,total_applications,total_denials,denial_rate,black_applications,black_denials,black_denial_rate,white_applications,white_denials,white_denial_rate,disparity_ratio_bw
48113000100,142.0,6.0,0.04225352112676056,2.0,0.0,,109.0,6.0,0.05504587155963303,
48113000201,127.0,4.0,0.031496062992125984,7.0,1.0,,104.0,3.0,0.028846153846153848,
48113000202,185.0,10.0,0.05405405405405406,4.0,0.0,,126.0,6.0,0.047619047619047616,
48113000300,229.0,15.0,0.06550218340611354,2.0,0.0,,169.0,8.0,0.047337278106508875,
48113000401,67.0,10.0,0.14925373134328357,2.0,0.0,,45.0,6.0,0.13333333333333333,
48113000405,45.0,5.0,0.1111111111111111,8.0,2.0,,19.0,0.0,0.0,
48113000407,42.0,3.0,0.07142857142857142,4.0,0.0,,24.0,1.0,0.041666666666666664,
48113000408,109.0,7.0,0.06422018348623854,12.0,1.0,0.08333333333333333,62.0,5.0,0.08064516129032258,1.0333333333333332
48113000409,12.0,2.0,0.16666666666666666,5.0,2.0,,3.0,0.0,,
48113000410,102.0,16.0,0.1568627450980392,19.0,2.0,0.10526315789473684,40.0,5.0,0.125,0.8421052631578947
48113000501,39.0,4.0,0.10256410256410256,1.0,0.0,,32.0,3.0,0.09375,
48113000502,50.0,4.0,0.08,0.0,0.0,,37.0,2.0,0.05405405405405406,
48113000503,62.0,6.0,0.0967741935483871,4.0,1.0,,38.0,2.0,0.05263157894736842,
48113000605,145.0,8.0,0.05517241379310345,0.0,0.0,,92.0,5.0,0.05434782608695652,
48113000606,169.0,24.0,0.14201183431952663,6.0,1.0,,111.0,14.0,0.12612612612612611,
48113000607,93.0,6.0,0.06451612903225806,1.0,0.0,,63.0,4.0,0.06349206349206349,
48113000608,149.0,12.0,0.08053691275167785,5.0,1.0,,93.0,7.0,0.07526881720430108,
48113000609,90.0,9.0,0.1,4.0,2.0,,61.0,6.0,0.09836065573770492,
48113000610,4.0,0.0,0.0,0.0,0.0,,2.0,0.0,,
