priority_rank,GEOID,NAMELSAD,council_district,bates_typology_v21,pct_black,pct_renter,total_applications,total_denials,denial_rate,black_applications,black_denial_rate,white_denial_rate,disparity_ratio_bw,above_county_median
1,48113017009,Census Tract 170.09,8,Susceptible,3.7,28.2,361.0,178.0,0.4930747922437673,26.0,0.3846153846153846,0.497737556561086,0.7727272727272727,True
2,48113006402,Census Tract 64.02,1,Susceptible,0.0,43.7,18.0,4.0,0.2222222222222222,1.0,,0.1666666666666666,,True
3,48113009103,Census Tract 91.03,5,Susceptible,35.7,35.9,20.0,3.0,0.15,2.0,,0.2,,True
4,48113017007,Census Tract 170.07,8,Susceptible,7.7,26.9,229.0,48.0,0.2096069868995633,19.0,0.4210526315789473,0.2409638554216867,1.7473684210526317,True
5,48113009202,Census Tract 92.02,5,Susceptible,19.9,40.9,56.0,19.0,0.3392857142857143,0.0,,0.3902439024390244,,True
6,48113016001,Census Tract 160.01,Outside City of Dallas,Susceptible,2.3,41.9,42.0,4.0,0.0952380952380952,2.0,,0.1034482758620689,,False
7,48113016302,Census Tract 163.02,Outside City of Dallas,Susceptible,7.5,48.6,13.0,3.0,0.2307692307692307,0.0,,0.1666666666666666,,True
8,48113011802,Census Tract 118.02,5,Susceptible,5.4,15.5,21.0,0.0,0.0,1.0,,0.0,,False
9,48113005901,Census Tract 59.01,4,Susceptible,58.1,32.2,65.0,13.0,0.2,15.0,0.4,0.1481481481481481,2.7,True
10,48113016002,Census Tract 160.02,Outside City of Dallas,Susceptible,1.0,71.1,12.0,0.0,0.0,0.0,,,,False
11,48113011103,Census Tract 111.03,3,Susceptible,36.6,36.3,36.0,14.0,0.3888888888888889,6.0,,0.2222222222222222,,True
12,48113011104,Census Tract 111.04,8,Susceptible,52.0,31.6,29.0,4.0,0.1379310344827586,5.0,,0.0,,True
13,48113010809,Census Tract 108.09,3,Susceptible,24.2,47.5,19.0,2.0,0.1052631578947368,0.0,,0.0625,,False
14,48113017101,Census Tract 171.01,8,Susceptible,9.8,27.8,121.0,55.0,0.4545454545454545,13.0,0.4615384615384615,0.3846153846153846,1.2,True
