GEOID,tract_name,in_pid,pid_name,pid_annual_budget,pid_per_capita
48113000100,Census Tract 1,False,,,
48113000201,Census Tract 2.01,False,,,
48113000202,Census Tract 2.02,False,,,
48113000300,Census Tract 3,False,,,
48113000401,Census Tract 4.01,False,,,
48113000405,Census Tract 4.05,False,,,
48113000407,Census Tract 4.07,False,,,
48113000408,Census Tract 4.08,False,,,
48113000409,Census Tract 4.09,False,,,
48113000410,Census Tract 4.10,False,,,
48113000501,Census Tract 5.01,False,,,
48113000502,Census Tract 5.02,False,,,
48113000503,Census Tract 5.03,False,,,
48113000605,Census Tract 6.05,False,,,
48113000606,Census Tract 6.06,False,,,
48113000607,Census Tract 6.07,False,,,
48113000608,Census Tract 6.08,False,,,
48113000609,Census Tract 6.09,False,,,
48113000610,Census Tract 6.10,False,,,
48113000611,Census Tract 6.11,False,,,
48113000703,Census Tract 7.03,False,,,
48113000704,Census Tract 7.04,True,Uptown PID,3511824.3243243243,1053.9688848512378
48113000705,Census Tract 7.05,False,,,
48113000706,Census Tract 7.06,False,,,
48113000801,Census Tract 8.01,False,,,
48113000802,Census Tract 8.02,False,,,
48113000901,Census Tract 9.01,False,,,
48113000902,Census Tract 9.02,False,,,
48113001001,Census Tract 10.01,False,,,
48113001002,Census Tract 10.02,False,,,
48113001101,Census Tract 11.01,False,,,
48113001102,Census Tract 11.02,False,,,
48113001202,Census Tract 12.02,False,,,
48113001203,Census Tract 12.03,False,,,
48113001204,Census Tract 12.04,False,,,
48113001301,Census Tract 13.01,False,,,
48113001302,Census Tract 13.02,False,,,
48113001400,Census Tract 14,False,,,
48113001502,Census Tract 15.02,False,,,
48113001503,Census Tract 15.03,False,,,
48113001504,Census Tract 15.04,False,,,
48113001601,Census Tract 16.01,False,,,
48113001602,Census Tract 16.02,False,,,
48113001703,Census Tract 17.03,True,Uptown PID,3511824.3243243243,934.4929016296765
48113001705,Census Tract 17.05,True,Dallas DID,9988175.675675677,3417.097391609879
48113001801,Census Tract 18.01,True,Uptown PID,3511824.3243243243,1367.5328365748926
48113001802,Census Tract 18.02,True,Uptown PID,3511824.3243243243,1140.9435751541014
48113001901,Census Tract 19.01,False,,,
48113001902,Census Tract 19.02,False,,,
48113002001,Census Tract 20.01,False,,,
48113002002,Census Tract 20.02,False,,,
48113002100,Census Tract 21,True,Dallas DID,9988175.675675677,3290.996927734984
48113002200,Census Tract 22,False,,,
48113002400,Census Tract 24,False,,,
48113002500,Census Tract 25,False,,,
48113002703,Census Tract 27.03,False,,,
48113003102,Census Tract 31.02,True,Dallas DID,9988175.675675677,5796.967890699754
48113003103,Census Tract 31.03,True,Dallas DID,9988175.675675677,4060.2340145023077
48113003700,Census Tract 37,False,,,
48113004201,Census Tract 42.01,False,,,
48113004202,Census Tract 42.02,False,,,
48113004300,Census Tract 43,False,,,
48113004400,Census Tract 44,False,,,
48113004500,Census Tract 45,False,,,
48113004600,Census Tract 46,False,,,
48113004700,Census Tract 47,False,,,
48113004800,Census Tract 48,False,,,
48113005000,Census Tract 50,False,,,
48113005100,Census Tract 51,False,,,
48113005200,Census Tract 52,False,,,
48113005300,Census Tract 53,False,,,
48113005400,Census Tract 54,False,,,
48113005500,Census Tract 55,False,,,
48113005600,Census Tract 56,False,,,
48113005700,Census Tract 57,False,,,
48113005901,Census Tract 59.01,False,,,
48113005902,Census Tract 59.02,False,,,
48113006001,Census Tract 60.01,False,,,
48113006002,Census Tract 60.02,False,,,
48113006100,Census Tract 61,False,,,
48113006200,Census Tract 62,False,,,
48113006301,Census Tract 63.01,False,,,
48113006302,Census Tract 63.02,False,,,
48113006401,Census Tract 64.01,False,,,
48113006402,Census Tract 64.02,False,,,
48113006501,Census Tract 65.01,False,,,
48113006502,Census Tract 65.02,False,,,
48113006701,Census Tract 67.01,False,,,
48113006702,Census Tract 67.02,False,,,
48113006800,Census Tract 68,False,,,
48113006900,Census Tract 69,False,,,
48113007101,Census Tract 71.01,False,,,
48113007102,Census Tract 71.02,False,,,
48113007203,Census Tract 72.03,False,,,
48113007204,Census Tract 72.04,False,,,
48113007205,Census Tract 72.05,False,,,
48113007206,Census Tract 72.06,False,,,
48113007301,Census Tract 73.01,False,,,
48113007302,Census Tract 73.02,False,,,
48113007601,Census Tract 76.01,False,,,
48113007604,Census Tract 76.04,False,,,
48113007605,Census Tract 76.05,False,,,
48113007701,Census Tract 77.01,False,,,
48113007702,Census Tract 77.02,False,,,
48113007801,Census Tract 78.01,False,,,
48113007805,Census Tract 78.05,False,,,
48113007809,Census Tract 78.09,False,,,
48113007810,Census Tract 78.10,False,,,
48113007812,Census Tract 78.12,False,,,
48113007815,Census Tract 78.15,True,Midtown PID-Premium,,
48113007819,Census Tract 78.19,True,Midtown PID-Premium,,
48113007821,Census Tract 78.21,True,Midtown PID-Premium,,
48113007822,Census Tract 78.22,True,Midtown PID-Standard,,
48113007823,Census Tract 78.23,True,Midtown PID-Standard,,
48113007824,Census Tract 78.24,False,,,
48113007825,Census Tract 78.25,False,,,
48113007826,Census Tract 78.26,True,Lake Highlands PID,,
48113007827,Census Tract 78.27,True,Lake Highlands PID,,
48113007828,Census Tract 78.28,False,,,
48113007829,Census Tract 78.29,False,,,
48113007830,Census Tract 78.30,True,Midtown PID-Premium,,
48113007831,Census Tract 78.31,True,Midtown PID-Premium,,
48113007832,Census Tract 78.32,True,Midtown PID-Premium,,
48113007833,Census Tract 78.33,True,Midtown PID-Premium,,
48113007834,Census Tract 78.34,True,Lake Highlands PID,,
48113007835,Census Tract 78.35,False,,,
48113007902,Census Tract 79.02,False,,,
48113007903,Census Tract 79.03,False,,,
48113007906,Census Tract 79.06,False,,,
48113007909,Census Tract 79.09,False,,,
48113007910,Census Tract 79.10,False,,,
48113007912,Census Tract 79.12,False,,,
48113007913,Census Tract 79.13,False,,,
48113007914,Census Tract 79.14,True,University Crossing PID,,
48113007915,Census Tract 79.15,False,,,
48113007916,Census Tract 79.16,False,,,
48113008000,Census Tract 80,False,,,
48113008101,Census Tract 81.01,False,,,
48113008102,Census Tract 81.02,False,,,
48113008200,Census Tract 82,False,,,
48113008401,Census Tract 84.01,False,,,
48113008402,Census Tract 84.02,False,,,
48113008500,Census Tract 85,False,,,
48113008604,Census Tract 86.04,False,,,
48113008701,Census Tract 87.01,False,,,
48113008703,Census Tract 87.03,False,,,
48113008704,Census Tract 87.04,False,,,
48113008705,Census Tract 87.05,False,,,
48113008801,Census Tract 88.01,False,,,
48113008802,Census Tract 88.02,False,,,
48113009001,Census Tract 90.01,False,,,
48113009002,Census Tract 90.02,False,,,
48113009101,Census Tract 91.01,False,,,
48113009103,Census Tract 91.03,False,,,
48113009104,Census Tract 91.04,False,,,
48113009105,Census Tract 91.05,False,,,
48113009202,Census Tract 92.02,False,,,
48113009203,Census Tract 92.03,False,,,
48113009204,Census Tract 92.04,False,,,
48113009301,Census Tract 93.01,False,,,
48113009303,Census Tract 93.03,False,,,
48113009304,Census Tract 93.04,False,,,
48113009401,Census Tract 94.01,False,,,
48113009402,Census Tract 94.02,False,,,
48113009500,Census Tract 95,False,,,
48113009603,Census Tract 96.03,False,,,
48113009604,Census Tract 96.04,False,,,
48113009605,Census Tract 96.05,False,,,
